date;New York Jets;George Eustice;West Ham United Women;kylie minogue;air travel;isPartial
2022-01-02;5;1;0;33;31;False
2022-01-09;3;1;1;29;36;False
2022-01-16;2;1;0;29;27;False
2022-01-23;3;1;0;29;30;False
2022-01-30;2;1;0;25;34;False
2022-02-06;2;5;0;31;34;False
2022-02-13;2;1;1;24;34;False
2022-02-20;1;1;0;23;34;False
2022-02-27;1;0;1;47;30;False
2022-03-06;3;0;0;35;32;False
2022-03-13;3;1;1;29;31;False
2022-03-20;3;1;0;25;31;False
2022-03-27;2;1;0;22;33;False
2022-04-03;2;1;0;29;30;False
2022-04-10;3;2;0;31;26;False
2022-04-17;2;0;0;25;29;False
2022-04-24;4;1;0;25;30;False
2022-05-01;4;11;0;74;31;False
2022-05-08;2;2;1;25;31;False
2022-05-15;3;1;1;28;33;False
2022-05-22;2;1;0;35;31;False
2022-05-29;2;0;0;31;31;False
2022-06-05;3;2;1;43;35;False
2022-06-12;2;1;0;31;31;False
2022-06-19;2;1;0;26;29;False
2022-06-26;2;3;0;28;31;False
2022-07-03;2;4;1;21;32;False
2022-07-10;2;2;0;42;33;False
2022-07-17;1;0;0;29;32;False
2022-07-24;3;1;0;100;32;False
2022-07-31;3;0;0;56;28;False
2022-08-07;3;2;0;35;28;False
2022-08-14;3;1;0;25;27;False
2022-08-21;3;1;0;26;24;False
2022-08-28;4;0;0;37;26;False
2022-09-04;5;4;0;29;28;False
2022-09-11;6;1;0;27;24;False
2022-09-18;6;1;0;100;24;False
2022-09-25;5;1;1;34;24;False
2022-10-02;4;1;0;19;23;False
2022-10-09;6;0;0;22;22;False
2022-10-16;6;1;0;24;20;False
2022-10-23;7;3;0;24;19;False
2022-10-30;6;1;1;25;19;False
2022-11-06;5;1;0;23;21;False
2022-11-13;4;3;0;21;17;False
2022-11-20;5;1;0;24;22;False
2022-11-27;5;0;1;23;21;False
2022-12-04;3;0;0;24;18;False
2022-12-11;5;1;1;26;19;False
2022-12-18;9;0;0;32;17;False
2022-12-25;2;0;1;36;23;False
2023-01-01;5;0;1;32;27;False
2023-01-08;4;0;1;25;25;False
2023-01-15;3;2;0;56;24;False
2023-01-22;2;1;0;38;22;False
2023-01-29;3;1;0;29;24;False
