date;narendra modi;Rich lists;Trevor Noah;Berlin film festival 2022;air travel;isPartial
2022-01-02;8;0;8;0;67;False
2022-01-09;7;0;11;0;73;False
2022-01-16;2;0;18;1;57;False
2022-01-23;1;0;10;0;63;False
2022-01-30;5;0;11;0;71;False
2022-02-06;8;0;10;1;71;False
2022-02-13;4;0;8;1;71;False
2022-02-20;7;0;9;0;73;False
2022-02-27;4;0;14;0;64;False
2022-03-06;7;0;11;0;67;False
2022-03-13;3;0;83;1;67;False
2022-03-20;6;0;31;1;65;False
2022-03-27;7;0;19;1;69;False
2022-04-03;4;0;21;0;63;False
2022-04-10;5;0;6;0;55;False
2022-04-17;8;0;7;0;61;False
2022-04-24;4;0;9;0;63;False
2022-05-01;8;0;30;1;65;False
2022-05-08;5;0;15;1;67;False
2022-05-15;7;0;17;0;69;False
2022-05-22;7;0;11;1;66;False
2022-05-29;11;0;9;0;67;False
2022-06-05;5;0;6;0;75;False
2022-06-12;4;0;10;0;65;False
2022-06-19;5;0;11;0;61;False
2022-06-26;3;0;7;0;65;False
2022-07-03;4;0;9;0;69;False
2022-07-10;4;0;6;0;71;False
2022-07-17;4;0;8;1;68;False
2022-07-24;2;0;7;0;67;False
2022-07-31;3;0;9;0;60;False
2022-08-07;4;0;8;0;59;False
2022-08-14;5;0;9;0;57;False
2022-08-21;4;0;8;0;50;False
2022-08-28;4;0;8;0;55;False
2022-09-04;6;0;9;0;59;False
2022-09-11;19;0;16;0;52;False
2022-09-18;18;0;18;0;49;False
2022-09-25;8;0;100;1;51;False
2022-10-02;2;0;43;1;49;False
2022-10-09;6;0;23;0;47;False
2022-10-16;4;0;27;1;43;False
2022-10-23;7;0;99;0;40;False
2022-10-30;4;0;31;0;39;False
2022-11-06;4;0;19;1;44;False
2022-11-13;8;0;19;0;37;False
2022-11-20;3;0;23;1;47;False
2022-11-27;4;0;33;0;45;False
2022-12-04;5;0;70;1;39;False
2022-12-11;4;0;42;1;40;False
2022-12-18;3;0;22;1;37;False
2022-12-25;19;0;23;1;49;False
2023-01-01;7;0;17;2;57;False
2023-01-08;5;0;16;0;53;False
2023-01-15;14;0;18;0;51;False
2023-01-22;15;0;11;1;47;False
2023-01-29;7;0;15;0;51;False
