date;Jessica Chastain;TV streaming;Reserve Bank of Australia;Women's Super League;air travel;isPartial
2022-01-02;26;25;0;1;35;False
2022-01-09;14;29;0;3;38;False
2022-01-16;15;28;0;2;30;False
2022-01-23;12;24;0;5;33;False
2022-01-30;15;26;0;2;37;False
2022-02-06;12;25;0;4;37;False
2022-02-13;9;30;0;2;37;False
2022-02-20;7;29;0;1;38;False
2022-02-27;11;28;0;1;33;False
2022-03-06;9;28;0;3;35;False
2022-03-13;12;34;0;4;35;False
2022-03-20;14;27;0;3;34;False
2022-03-27;100;28;0;3;36;False
2022-04-03;24;30;0;1;33;False
2022-04-10;16;29;0;1;29;False
2022-04-17;11;32;0;1;32;False
2022-04-24;9;26;0;2;33;False
2022-05-01;12;31;0;3;34;False
2022-05-08;8;25;0;3;35;False
2022-05-15;6;25;0;2;36;False
2022-05-22;6;28;0;0;34;False
2022-05-29;8;27;0;0;35;False
2022-06-05;10;26;0;0;39;False
2022-06-12;12;19;0;0;34;False
2022-06-19;8;20;0;1;32;False
2022-06-26;9;23;0;1;34;False
2022-07-03;16;21;1;0;36;False
2022-07-10;9;25;0;0;37;False
2022-07-17;6;23;0;3;35;False
2022-07-24;8;24;1;3;35;False
2022-07-31;7;31;0;10;31;False
2022-08-07;12;27;1;3;31;False
2022-08-14;14;27;0;2;30;False
2022-08-21;12;35;0;1;26;False
2022-08-28;13;37;0;2;29;False
2022-09-04;12;33;0;4;31;False
2022-09-11;14;31;0;2;27;False
2022-09-18;10;29;0;5;26;False
2022-09-25;11;33;0;3;27;False
2022-10-02;10;29;0;2;25;False
2022-10-09;9;29;0;2;24;False
2022-10-16;9;38;0;3;22;False
2022-10-23;31;31;0;2;21;False
2022-10-30;26;27;1;1;21;False
2022-11-06;14;34;0;4;23;False
2022-11-13;14;27;0;3;19;False
2022-11-20;10;40;1;2;24;False
2022-11-27;9;30;0;1;24;False
2022-12-04;9;29;0;1;20;False
2022-12-11;12;28;1;4;21;False
2022-12-18;8;33;0;0;19;False
2022-12-25;11;37;0;1;25;False
2023-01-01;10;37;0;1;30;False
2023-01-08;12;32;1;1;28;False
2023-01-15;8;34;0;3;27;False
2023-01-22;8;29;0;2;25;False
2023-01-29;9;30;0;1;27;False
