date;jk rowling;Social care;Ford;Cop27;air travel;isPartial
2023-01-01;3;5;76;0;2;False
2023-01-02;2;8;85;0;2;False
2023-01-03;2;12;94;0;1;False
2023-01-04;2;14;87;0;2;False
2023-01-05;2;13;85;0;2;False
2023-01-06;1;12;90;0;2;False
2023-01-07;2;6;97;0;1;False
2023-01-08;2;10;84;0;2;False
2023-01-09;1;16;86;0;1;False
2023-01-10;2;16;87;0;2;False
2023-01-11;1;16;87;1;2;False
2023-01-12;3;17;97;0;2;False
2023-01-13;3;13;90;0;2;False
2023-01-14;2;7;95;0;1;False
2023-01-15;4;9;88;0;2;False
2023-01-16;3;15;88;0;2;False
2023-01-17;3;14;93;0;1;False
2023-01-18;3;15;91;0;2;False
2023-01-19;2;14;89;0;2;False
2023-01-20;2;13;98;0;2;False
2023-01-21;2;6;100;0;2;False
2023-01-22;4;8;95;0;2;False
2023-01-23;5;14;96;0;2;False
2023-01-24;2;16;93;0;1;False
2023-01-25;4;15;95;0;2;False
2023-01-26;3;16;89;0;2;False
2023-01-27;9;13;90;0;1;False
2023-01-28;13;6;99;0;2;False
2023-01-29;9;9;95;0;2;False
2023-01-30;6;17;97;0;3;False
2023-01-31;3;15;91;0;2;False
