date;Toyota;Children;Leinster;Bushfires;air travel;isPartial
2022-01-02;22;76;0;0;1;False
2022-01-09;25;71;0;0;2;False
2022-01-16;22;67;1;0;1;False
2022-01-23;24;70;1;0;1;False
2022-01-30;26;69;0;0;2;False
2022-02-06;23;64;0;0;2;False
2022-02-13;23;63;1;0;2;False
2022-02-20;22;61;0;0;2;False
2022-02-27;23;70;0;0;1;False
2022-03-06;23;62;1;0;1;False
2022-03-13;24;67;0;0;1;False
2022-03-20;23;64;0;0;1;False
2022-03-27;22;63;0;0;2;False
2022-04-03;23;66;1;0;1;False
2022-04-10;23;58;1;0;1;False
2022-04-17;21;64;1;0;1;False
2022-04-24;22;63;0;0;1;False
2022-05-01;19;67;2;0;1;False
2022-05-08;21;62;2;0;1;False
2022-05-15;21;64;1;0;2;False
2022-05-22;20;64;3;0;1;False
2022-05-29;21;65;1;0;1;False
2022-06-05;23;67;1;0;2;False
2022-06-12;24;58;0;0;1;False
2022-06-19;24;58;0;0;1;False
2022-06-26;22;61;0;0;1;False
2022-07-03;23;66;0;0;1;False
2022-07-10;22;63;0;0;2;False
2022-07-17;23;60;0;0;1;False
2022-07-24;24;59;0;0;1;False
2022-07-31;23;52;0;0;1;False
2022-08-07;22;53;0;0;1;False
2022-08-14;21;52;0;0;1;False
2022-08-21;24;51;1;0;1;False
2022-08-28;22;55;1;0;1;False
2022-09-04;21;86;0;0;1;False
2022-09-11;23;92;0;0;1;False
2022-09-18;21;95;0;0;1;False
2022-09-25;22;70;1;0;1;False
2022-10-02;20;61;1;0;1;False
2022-10-09;21;66;0;0;1;False
2022-10-16;19;65;1;0;1;False
2022-10-23;22;63;1;0;1;False
2022-10-30;21;61;0;0;1;False
2022-11-06;19;79;0;0;1;False
2022-11-13;20;100;0;0;1;False
2022-11-20;17;63;0;0;1;False
2022-11-27;19;62;1;0;1;False
2022-12-04;19;65;1;0;1;False
2022-12-11;19;71;1;0;1;False
2022-12-18;20;68;0;0;1;False
2022-12-25;20;55;1;0;1;False
2023-01-01;22;60;1;0;1;False
2023-01-08;22;72;1;0;1;False
2023-01-15;24;65;1;0;1;False
2023-01-22;25;62;1;0;1;False
2023-01-29;25;62;0;0;1;False
