date;california;Ethical business;Northumberland;Services sector;air travel;isPartial
2022-01-02;65;1;61;1;10;False
2022-01-09;64;1;61;0;11;False
2022-01-16;67;1;56;1;9;False
2022-01-23;77;1;57;0;10;False
2022-01-30;65;1;55;1;11;False
2022-02-06;63;1;54;1;11;False
2022-02-13;74;1;54;1;11;False
2022-02-20;72;1;51;1;11;False
2022-02-27;62;1;43;1;10;False
2022-03-06;65;1;46;1;10;False
2022-03-13;75;2;48;1;10;False
2022-03-20;78;2;52;1;10;False
2022-03-27;77;1;48;1;11;False
2022-04-03;81;1;56;1;10;False
2022-04-10;77;1;55;0;9;False
2022-04-17;80;1;52;1;9;False
2022-04-24;74;1;50;1;10;False
2022-05-01;79;1;62;1;10;False
2022-05-08;77;1;55;1;10;False
2022-05-15;80;1;53;1;11;False
2022-05-22;82;1;54;1;10;False
2022-05-29;80;1;63;0;10;False
2022-06-05;83;1;54;0;12;False
2022-06-12;75;1;52;1;10;False
2022-06-19;83;0;54;1;9;False
2022-06-26;83;1;53;1;10;False
2022-07-03;77;1;51;1;11;False
2022-07-10;82;0;55;1;11;False
2022-07-17;85;0;56;1;10;False
2022-07-24;98;0;57;1;10;False
2022-07-31;92;0;56;1;9;False
2022-08-07;92;0;60;1;9;False
2022-08-14;77;0;53;1;9;False
2022-08-21;76;0;54;1;8;False
2022-08-28;73;0;53;0;9;False
2022-09-04;74;1;48;1;9;False
2022-09-11;70;1;47;1;8;False
2022-09-18;82;1;48;0;8;False
2022-09-25;73;1;47;1;8;False
2022-10-02;76;1;47;1;8;False
2022-10-09;62;1;44;1;7;False
2022-10-16;63;1;42;1;7;False
2022-10-23;66;1;44;1;6;False
2022-10-30;65;1;37;1;6;False
2022-11-06;73;1;40;1;7;False
2022-11-13;61;1;37;1;6;False
2022-11-20;50;1;33;1;7;False
2022-11-27;55;1;35;1;7;False
2022-12-04;53;1;34;1;6;False
2022-12-11;55;1;36;1;6;False
2022-12-18;67;1;37;0;6;False
2022-12-25;69;0;41;0;8;False
2023-01-01;79;1;47;0;9;False
2023-01-08;100;1;43;1;8;False
2023-01-15;81;1;46;1;8;False
2023-01-22;96;1;51;1;7;False
2023-01-29;72;1;59;1;8;False
