date;Durham University;Dolly Parton;Australia sport;tesla;air travel;isPartial
2023-01-01;3;22;1;59;4;False
2023-01-02;3;19;0;57;5;False
2023-01-03;3;15;0;94;3;False
2023-01-04;3;11;0;83;5;False
2023-01-05;4;12;0;75;4;False
2023-01-06;5;11;0;80;4;False
2023-01-07;3;13;0;50;3;False
2023-01-08;3;9;0;45;4;False
2023-01-09;5;7;0;64;3;False
2023-01-10;4;6;1;68;4;False
2023-01-11;5;5;1;58;5;False
2023-01-12;4;6;0;60;4;False
2023-01-13;4;7;0;100;3;False
2023-01-14;3;7;0;92;3;False
2023-01-15;3;8;0;75;3;False
2023-01-16;6;5;1;73;4;False
2023-01-17;4;5;1;71;3;False
2023-01-18;3;6;0;69;4;False
2023-01-19;5;15;0;70;4;False
2023-01-20;4;32;0;66;3;False
2023-01-21;2;21;0;53;3;False
2023-01-22;2;14;0;52;4;False
2023-01-23;5;9;0;64;4;False
2023-01-24;6;6;0;68;3;False
2023-01-25;5;8;0;77;4;False
2023-01-26;5;5;0;83;4;False
2023-01-27;4;8;1;78;2;False
2023-01-28;3;10;0;57;3;False
2023-01-29;3;7;1;51;3;False
2023-01-30;5;5;1;77;5;False
2023-01-31;4;4;0;68;4;False
