date;Mike Pence;Victorian politics;Owen Paterson;Denver Broncos;air travel;isPartial
2022-01-02;4;0;2;16;87;False
2022-01-09;5;2;11;20;100;False
2022-01-16;2;0;11;10;74;False
2022-01-23;3;0;13;14;82;False
2022-01-30;12;1;25;15;94;False
2022-02-06;4;0;5;12;93;False
2022-02-13;1;1;2;12;94;False
2022-02-20;3;1;3;6;95;False
2022-02-27;4;0;2;6;83;False
2022-03-06;4;0;2;21;88;False
2022-03-13;3;0;1;14;87;False
2022-03-20;1;0;2;10;85;False
2022-03-27;2;1;1;8;90;False
2022-04-03;2;0;3;5;84;False
2022-04-10;1;0;3;8;71;False
2022-04-17;3;0;3;6;78;False
2022-04-24;5;0;5;10;82;False
2022-05-01;3;0;3;13;84;False
2022-05-08;1;1;2;9;87;False
2022-05-15;0;0;3;7;90;False
2022-05-22;5;0;2;7;85;False
2022-05-29;1;0;0;6;87;False
2022-06-05;10;0;2;10;97;False
2022-06-12;13;0;8;10;87;False
2022-06-19;7;0;1;7;79;False
2022-06-26;2;2;3;10;85;False
2022-07-03;4;0;24;6;89;False
2022-07-10;4;0;6;5;92;False
2022-07-17;6;0;3;5;88;False
2022-07-24;6;0;3;9;87;False
2022-07-31;2;0;2;16;78;False
2022-08-07;3;2;4;12;76;False
2022-08-14;3;0;1;12;75;False
2022-08-21;2;0;4;10;65;False
2022-08-28;3;0;4;11;72;False
2022-09-04;2;0;2;10;77;False
2022-09-11;6;0;0;29;67;False
2022-09-18;3;1;2;20;66;False
2022-09-25;1;2;1;17;66;False
2022-10-02;0;1;3;26;63;False
2022-10-09;3;0;0;12;62;False
2022-10-16;7;1;3;28;55;False
2022-10-23;3;0;0;37;52;False
2022-10-30;2;0;2;46;51;False
2022-11-06;7;0;3;8;58;False
2022-11-13;11;1;1;10;48;False
2022-11-20;4;1;16;14;60;False
2022-11-27;4;0;3;12;59;False
2022-12-04;2;0;1;10;50;False
2022-12-11;2;0;1;15;52;False
2022-12-18;2;0;0;14;48;False
2022-12-25;7;0;1;24;64;False
2023-01-01;2;0;0;13;74;False
2023-01-08;2;0;2;20;69;False
2023-01-15;1;0;1;9;67;False
2023-01-22;15;1;0;12;62;False
2023-01-29;5;0;2;14;67;False
