date;Chile;European club football;david beckham;Britney Spears;air travel;isPartial
2022-01-02;18;0;17;44;11;False
2022-01-09;19;0;19;33;13;False
2022-01-16;18;0;12;32;10;False
2022-01-23;26;0;12;26;10;False
2022-01-30;25;0;13;19;12;False
2022-02-06;17;0;11;17;12;False
2022-02-13;18;0;16;18;12;False
2022-02-20;19;0;15;18;12;False
2022-02-27;19;0;12;29;11;False
2022-03-06;19;0;11;25;11;False
2022-03-13;19;0;12;22;11;False
2022-03-20;30;0;17;18;11;False
2022-03-27;24;0;21;21;12;False
2022-04-03;21;0;20;22;11;False
2022-04-10;18;0;36;100;9;False
2022-04-17;17;0;17;26;10;False
2022-04-24;19;0;14;20;10;False
2022-05-01;20;0;20;17;11;False
2022-05-08;18;0;23;51;11;False
2022-05-15;18;1;17;35;12;False
2022-05-22;20;1;17;24;11;False
2022-05-29;17;0;19;26;11;False
2022-06-05;23;0;26;51;12;False
2022-06-12;21;0;24;39;11;False
2022-06-19;20;0;14;18;10;False
2022-06-26;18;0;16;15;11;False
2022-07-03;19;0;19;14;11;False
2022-07-10;21;0;18;16;12;False
2022-07-17;18;0;16;32;11;False
2022-07-24;16;0;17;30;11;False
2022-07-31;19;0;15;21;10;False
2022-08-07;17;0;12;59;10;False
2022-08-14;17;1;11;25;10;False
2022-08-21;18;0;14;47;8;False
2022-08-28;18;0;14;58;9;False
2022-09-04;25;0;14;33;10;False
2022-09-11;21;0;88;33;9;False
2022-09-18;20;0;44;19;8;False
2022-09-25;22;0;16;21;8;False
2022-10-02;20;0;16;29;8;False
2022-10-09;21;0;15;23;8;False
2022-10-16;20;0;13;31;7;False
2022-10-23;19;0;18;28;7;False
2022-10-30;22;0;16;22;7;False
2022-11-06;23;0;21;20;7;False
2022-11-13;34;0;44;18;6;False
2022-11-20;21;0;52;18;8;False
2022-11-27;21;0;28;27;8;False
2022-12-04;18;0;31;28;6;False
2022-12-11;19;0;27;29;7;False
2022-12-18;21;0;27;35;6;False
2022-12-25;16;0;22;28;8;False
2023-01-01;20;0;18;33;10;False
2023-01-08;18;0;15;19;9;False
2023-01-15;18;0;11;31;9;False
2023-01-22;21;0;16;22;8;False
2023-01-29;19;0;10;16;9;False
