date;Yevgeny Prigozhin;PlayStation;Lou Reed;Honduras;air travel;isPartial
2022-01-02;0;75;1;2;5;False
2022-01-09;0;55;1;1;6;False
2022-01-16;0;62;1;2;5;False
2022-01-23;0;57;1;2;5;False
2022-01-30;0;57;1;4;6;False
2022-02-06;0;47;1;2;6;False
2022-02-13;0;51;1;2;6;False
2022-02-20;0;52;1;2;6;False
2022-02-27;0;46;1;4;5;False
2022-03-06;0;50;1;2;5;False
2022-03-13;0;43;1;3;5;False
2022-03-20;0;50;1;3;5;False
2022-03-27;0;47;1;3;6;False
2022-04-03;0;47;1;2;5;False
2022-04-10;0;46;1;2;4;False
2022-04-17;0;41;1;2;5;False
2022-04-24;0;44;1;2;5;False
2022-05-01;0;43;1;2;5;False
2022-05-08;0;38;1;2;5;False
2022-05-15;0;42;1;2;6;False
2022-05-22;0;39;1;2;5;False
2022-05-29;0;53;1;2;5;False
2022-06-05;0;46;2;2;6;False
2022-06-12;0;42;1;2;5;False
2022-06-19;0;47;1;2;5;False
2022-06-26;0;44;1;2;5;False
2022-07-03;0;40;1;2;6;False
2022-07-10;0;39;1;2;6;False
2022-07-17;0;45;1;1;5;False
2022-07-24;0;44;1;2;5;False
2022-07-31;0;45;1;2;5;False
2022-08-07;0;39;1;2;5;False
2022-08-14;0;41;1;2;5;False
2022-08-21;0;55;1;2;4;False
2022-08-28;0;53;2;1;4;False
2022-09-04;0;44;1;2;5;False
2022-09-11;0;50;1;2;4;False
2022-09-18;0;54;1;4;4;False
2022-09-25;0;60;1;2;4;False
2022-10-02;0;56;1;2;4;False
2022-10-09;0;52;1;2;4;False
2022-10-16;0;52;1;2;3;False
2022-10-23;0;61;1;3;3;False
2022-10-30;0;63;1;2;3;False
2022-11-06;0;68;1;2;4;False
2022-11-13;0;72;1;2;3;False
2022-11-20;0;74;1;2;4;False
2022-11-27;0;65;1;2;4;False
2022-12-04;0;64;1;3;3;False
2022-12-11;0;75;1;2;3;False
2022-12-18;0;79;1;2;3;False
2022-12-25;0;100;1;2;4;False
2023-01-01;0;61;1;2;5;False
2023-01-08;1;56;0;2;4;False
2023-01-15;0;55;1;2;4;False
2023-01-22;0;50;1;2;4;False
2023-01-29;0;55;1;3;4;False
