date;noel edmonds;Justin Bieber;West End;Colorado;air travel;isPartial
2022-01-02;2;22;46;22;11;False
2022-01-09;2;21;50;15;12;False
2022-01-16;2;19;47;14;9;False
2022-01-23;2;18;50;16;10;False
2022-01-30;2;23;53;17;11;False
2022-02-06;1;22;48;14;11;False
2022-02-13;1;24;47;14;11;False
2022-02-20;2;27;52;15;12;False
2022-02-27;2;23;43;14;10;False
2022-03-06;1;22;44;12;11;False
2022-03-13;1;26;44;14;11;False
2022-03-20;2;23;45;14;10;False
2022-03-27;1;19;41;14;11;False
2022-04-03;2;28;43;14;10;False
2022-04-10;2;26;44;14;9;False
2022-04-17;1;22;41;13;10;False
2022-04-24;1;24;39;14;10;False
2022-05-01;1;23;54;16;10;False
2022-05-08;2;21;45;15;11;False
2022-05-15;1;17;49;14;11;False
2022-05-22;1;22;46;15;10;False
2022-05-29;1;19;52;15;11;False
2022-06-05;1;73;47;15;12;False
2022-06-12;2;100;45;17;11;False
2022-06-19;2;34;47;18;10;False
2022-06-26;2;30;51;18;10;False
2022-07-03;2;27;41;14;11;False
2022-07-10;1;19;43;16;11;False
2022-07-17;2;20;42;16;11;False
2022-07-24;1;18;44;17;11;False
2022-07-31;2;19;45;16;9;False
2022-08-07;2;20;45;18;9;False
2022-08-14;2;17;41;16;9;False
2022-08-21;36;20;44;15;8;False
2022-08-28;16;18;45;15;9;False
2022-09-04;2;24;42;15;9;False
2022-09-11;3;21;45;14;8;False
2022-09-18;2;18;42;13;8;False
2022-09-25;2;18;42;15;8;False
2022-10-02;2;19;44;15;8;False
2022-10-09;2;17;44;16;8;False
2022-10-16;2;22;44;16;7;False
2022-10-23;3;17;43;16;6;False
2022-10-30;2;15;42;15;6;False
2022-11-06;3;16;43;24;7;False
2022-11-13;2;15;44;17;6;False
2022-11-20;2;13;39;42;7;False
2022-11-27;2;15;43;16;7;False
2022-12-04;25;15;39;15;6;False
2022-12-11;3;15;42;15;6;False
2022-12-18;4;33;45;18;6;False
2022-12-25;4;19;45;17;8;False
2023-01-01;2;16;45;16;9;False
2023-01-08;2;14;43;14;8;False
2023-01-15;4;15;42;15;8;False
2023-01-22;3;25;44;16;7;False
2023-01-29;2;18;46;16;8;False
