date;Factual TV;Rice;james cleverly;fitness;air travel;isPartial
2022-01-02;0;94;0;61;3;False
2022-01-09;0;96;0;57;3;False
2022-01-16;0;97;0;48;2;False
2022-01-23;0;81;0;49;3;False
2022-01-30;0;87;0;50;3;False
2022-02-06;0;100;0;44;3;False
2022-02-13;0;75;0;38;3;False
2022-02-20;0;70;1;43;3;False
2022-02-27;0;71;0;42;3;False
2022-03-06;0;0;0;41;3;False
2022-03-13;0;0;0;42;3;False
2022-03-20;0;68;0;42;3;False
2022-03-27;0;64;0;38;3;False
2022-04-03;0;68;0;38;3;False
2022-04-10;0;72;0;40;2;False
2022-04-17;0;65;0;39;3;False
2022-04-24;0;67;0;38;3;False
2022-05-01;0;74;0;43;3;False
2022-05-08;0;72;0;40;3;False
2022-05-15;0;65;0;45;3;False
2022-05-22;0;68;0;38;3;False
2022-05-29;0;68;0;38;3;False
2022-06-05;0;75;0;41;3;False
2022-06-12;0;69;0;40;3;False
2022-06-19;0;59;0;39;3;False
2022-06-26;0;75;0;39;3;False
2022-07-03;0;98;3;38;3;False
2022-07-10;0;71;0;39;3;False
2022-07-17;0;66;0;37;3;False
2022-07-24;0;67;0;39;3;False
2022-07-31;0;74;0;39;3;False
2022-08-07;0;69;0;36;3;False
2022-08-14;0;67;1;36;2;False
2022-08-21;0;69;0;42;2;False
2022-08-28;0;72;0;38;2;False
2022-09-04;0;72;9;39;3;False
2022-09-11;0;68;1;39;2;False
2022-09-18;0;75;1;39;2;False
2022-09-25;0;77;1;38;2;False
2022-10-02;0;75;1;40;2;False
2022-10-09;0;74;1;37;2;False
2022-10-16;0;69;1;36;2;False
2022-10-23;0;78;4;39;2;False
2022-10-30;0;83;0;37;2;False
2022-11-06;0;76;2;41;2;False
2022-11-13;0;74;1;39;2;False
2022-11-20;0;76;0;33;2;False
2022-11-27;0;71;0;32;2;False
2022-12-04;0;68;0;30;2;False
2022-12-11;0;61;1;30;2;False
2022-12-18;0;68;0;31;2;False
2022-12-25;0;74;0;42;2;False
2023-01-01;0;96;0;52;2;False
2023-01-08;0;80;0;51;2;False
2023-01-15;0;87;0;47;2;False
2023-01-22;0;87;0;46;2;False
2023-01-29;0;86;0;49;2;False
