date;UK charts;maine;Vocational education;smoking;air travel;isPartial
2023-01-01;8;34;0;81;9;False
2023-01-02;5;27;0;94;10;False
2023-01-03;6;28;0;89;7;False
2023-01-04;4;21;1;88;10;False
2023-01-05;7;24;0;84;8;False
2023-01-06;10;33;0;86;8;False
2023-01-07;11;25;1;80;6;False
2023-01-08;9;26;0;88;9;False
2023-01-09;9;27;0;84;6;False
2023-01-10;14;24;2;84;9;False
2023-01-11;13;23;0;87;10;False
2023-01-12;20;19;0;79;8;False
2023-01-13;18;22;0;80;7;False
2023-01-14;15;24;1;72;6;False
2023-01-15;10;30;0;87;7;False
2023-01-16;10;23;1;90;8;False
2023-01-17;9;23;0;80;6;False
2023-01-18;9;24;0;94;9;False
2023-01-19;7;25;0;100;8;False
2023-01-20;11;33;1;86;7;False
2023-01-21;9;29;1;85;7;False
2023-01-22;8;34;1;77;8;False
2023-01-23;12;26;0;83;8;False
2023-01-24;11;25;0;84;6;False
2023-01-25;9;28;0;81;8;False
2023-01-26;6;27;0;79;8;False
2023-01-27;16;29;0;76;5;False
2023-01-28;11;28;1;75;7;False
2023-01-29;9;28;0;78;7;False
2023-01-30;6;35;1;81;11;False
2023-01-31;6;28;0;83;9;False
