date;Period drama (TV);Australian Capital Territory (ACT);Monterey Park shooting;prisons;air travel;isPartial
2022-01-02;3;0;0;80;83;False
2022-01-09;0;0;1;80;91;False
2022-01-16;0;0;0;75;71;False
2022-01-23;4;0;0;80;79;False
2022-01-30;3;0;0;78;89;False
2022-02-06;0;0;0;74;89;False
2022-02-13;0;0;0;74;89;False
2022-02-20;0;0;0;75;91;False
2022-02-27;2;0;0;76;80;False
2022-03-06;1;0;0;70;84;False
2022-03-13;1;0;0;79;83;False
2022-03-20;1;0;0;77;82;False
2022-03-27;2;0;0;83;87;False
2022-04-03;0;0;0;76;79;False
2022-04-10;1;0;0;64;68;False
2022-04-17;2;0;0;71;76;False
2022-04-24;1;0;1;72;78;False
2022-05-01;2;0;0;79;81;False
2022-05-08;0;0;0;81;83;False
2022-05-15;0;0;0;88;86;False
2022-05-22;0;0;0;70;82;False
2022-05-29;2;0;0;51;83;False
2022-06-05;0;0;0;53;93;False
2022-06-12;0;0;0;59;81;False
2022-06-19;0;0;1;60;76;False
2022-06-26;1;0;0;53;81;False
2022-07-03;0;0;0;53;86;False
2022-07-10;0;0;0;55;89;False
2022-07-17;0;0;0;52;84;False
2022-07-24;0;0;0;66;84;False
2022-07-31;0;0;0;53;75;False
2022-08-07;0;0;0;62;73;False
2022-08-14;3;0;0;60;72;False
2022-08-21;3;0;0;58;63;False
2022-08-28;1;0;0;54;69;False
2022-09-04;2;0;4;63;74;False
2022-09-11;1;0;0;65;65;False
2022-09-18;1;0;0;61;61;False
2022-09-25;1;0;0;100;64;False
2022-10-02;1;0;0;100;61;False
2022-10-09;2;0;0;77;58;False
2022-10-16;1;0;0;69;53;False
2022-10-23;2;0;0;70;50;False
2022-10-30;0;0;0;69;49;False
2022-11-06;1;0;0;64;55;False
2022-11-13;2;0;0;73;46;False
2022-11-20;1;0;1;56;58;False
2022-11-27;1;0;0;79;57;False
2022-12-04;1;0;0;60;48;False
2022-12-11;2;0;1;64;49;False
2022-12-18;1;0;0;59;46;False
2022-12-25;2;0;0;50;61;False
2023-01-01;1;0;0;70;71;False
2023-01-08;2;0;0;89;66;False
2023-01-15;2;0;1;92;64;False
2023-01-22;1;0;24;90;59;False
2023-01-29;1;0;1;92;64;False
