date;Cost of living crisis;Cambridge;Usain Bolt;Omicron variant;air travel;isPartial
2022-01-02;0;98;1;6;3;False
2022-01-09;0;89;1;3;3;False
2022-01-16;0;80;1;3;2;False
2022-01-23;0;90;1;4;2;False
2022-01-30;0;96;1;2;3;False
2022-02-06;0;80;1;2;3;False
2022-02-13;0;90;1;1;3;False
2022-02-20;0;87;1;1;3;False
2022-02-27;0;82;1;1;3;False
2022-03-06;1;88;1;1;3;False
2022-03-13;0;82;1;2;3;False
2022-03-20;1;91;1;2;3;False
2022-03-27;1;85;1;1;3;False
2022-04-03;1;88;1;1;3;False
2022-04-10;1;82;1;1;2;False
2022-04-17;1;87;1;1;2;False
2022-04-24;1;82;1;0;2;False
2022-05-01;1;92;1;0;3;False
2022-05-08;1;85;1;0;3;False
2022-05-15;1;90;1;0;3;False
2022-05-22;2;81;1;0;3;False
2022-05-29;1;93;1;0;3;False
2022-06-05;1;100;1;0;3;False
2022-06-12;1;91;3;1;3;False
2022-06-19;1;91;2;1;2;False
2022-06-26;1;85;1;1;3;False
2022-07-03;1;80;1;1;3;False
2022-07-10;2;87;2;1;3;False
2022-07-17;1;92;2;0;3;False
2022-07-24;1;85;1;0;3;False
2022-07-31;1;85;2;0;2;False
2022-08-07;2;84;2;0;2;False
2022-08-14;2;86;1;0;2;False
2022-08-21;3;92;1;0;2;False
2022-08-28;4;80;1;0;2;False
2022-09-04;3;98;1;0;2;False
2022-09-11;2;87;1;0;2;False
2022-09-18;2;88;1;0;2;False
2022-09-25;2;87;1;0;2;False
2022-10-02;2;92;1;0;2;False
2022-10-09;2;89;1;0;2;False
2022-10-16;2;88;1;0;2;False
2022-10-23;2;81;1;0;2;False
2022-10-30;2;81;1;0;2;False
2022-11-06;2;83;1;0;2;False
2022-11-13;2;83;1;0;1;False
2022-11-20;2;77;1;0;2;False
2022-11-27;2;81;1;0;2;False
2022-12-04;2;77;1;0;2;False
2022-12-11;2;81;1;0;2;False
2022-12-18;1;69;1;0;1;False
2022-12-25;1;70;1;0;2;False
2023-01-01;1;74;1;0;2;False
2023-01-08;1;78;2;0;2;False
2023-01-15;1;81;6;0;2;False
2023-01-22;1;85;3;0;2;False
2023-01-29;1;87;2;0;2;False
