date;Nuclear waste;Britpop;Prince William;Nelson Mandela;air travel;isPartial
2023-01-01;0;0;21;5;10;False
2023-01-02;2;0;25;4;11;False
2023-01-03;2;0;18;3;7;False
2023-01-04;1;1;18;6;11;False
2023-01-05;1;1;100;7;9;False
2023-01-06;2;1;91;7;9;False
2023-01-07;1;2;73;4;7;False
2023-01-08;1;2;97;4;11;False
2023-01-09;1;2;69;5;6;False
2023-01-10;1;1;63;4;10;False
2023-01-11;1;0;54;6;11;False
2023-01-12;1;0;50;5;9;False
2023-01-13;2;1;33;5;7;False
2023-01-14;2;0;34;6;7;False
2023-01-15;2;1;29;5;8;False
2023-01-16;1;1;26;3;9;False
2023-01-17;2;0;20;5;7;False
2023-01-18;1;0;16;7;10;False
2023-01-19;2;1;15;6;9;False
2023-01-20;0;1;17;4;7;False
2023-01-21;1;0;17;7;8;False
2023-01-22;0;0;18;4;9;False
2023-01-23;2;0;15;5;9;False
2023-01-24;3;1;16;5;7;False
2023-01-25;2;2;12;6;9;False
2023-01-26;1;1;14;4;8;False
2023-01-27;0;1;11;8;6;False
2023-01-28;1;1;13;4;8;False
2023-01-29;1;1;15;3;8;False
2023-01-30;2;2;12;6;12;False
2023-01-31;1;1;14;4;10;False
