date;northumbria;Gladys Berejiklian;haiti;George Bernard Shaw;air travel;isPartial
2022-01-02;69;0;20;2;36;False
2022-01-09;79;0;20;2;39;False
2022-01-16;77;0;20;1;30;False
2022-01-23;90;0;23;1;34;False
2022-01-30;85;0;19;2;38;False
2022-02-06;87;0;18;0;38;False
2022-02-13;70;0;16;1;38;False
2022-02-20;66;0;17;2;39;False
2022-02-27;70;0;19;2;34;False
2022-03-06;78;0;20;1;36;False
2022-03-13;80;0;21;1;36;False
2022-03-20;79;0;22;3;35;False
2022-03-27;72;0;27;3;37;False
2022-04-03;64;0;17;1;34;False
2022-04-10;54;0;21;3;29;False
2022-04-17;55;0;19;1;33;False
2022-04-24;67;0;20;3;33;False
2022-05-01;75;0;23;3;35;False
2022-05-08;78;0;24;2;36;False
2022-05-15;74;0;24;2;37;False
2022-05-22;61;0;29;4;35;False
2022-05-29;49;0;16;2;36;False
2022-06-05;62;0;21;2;40;False
2022-06-12;63;0;19;9;35;False
2022-06-19;63;0;22;3;32;False
2022-06-26;61;0;19;2;35;False
2022-07-03;56;0;16;2;37;False
2022-07-10;59;0;15;2;38;False
2022-07-17;52;0;15;1;36;False
2022-07-24;53;0;15;2;36;False
2022-07-31;56;0;12;2;32;False
2022-08-07;54;0;16;2;31;False
2022-08-14;64;0;11;1;31;False
2022-08-21;65;0;12;6;27;False
2022-08-28;63;1;14;2;29;False
2022-09-04;74;0;16;2;32;False
2022-09-11;87;0;22;2;28;False
2022-09-18;89;1;24;1;26;False
2022-09-25;100;0;24;2;27;False
2022-10-02;96;0;23;1;26;False
2022-10-09;85;0;26;1;25;False
2022-10-16;77;0;33;1;23;False
2022-10-23;72;0;22;2;21;False
2022-10-30;76;0;22;2;21;False
2022-11-06;77;0;26;1;24;False
2022-11-13;79;0;24;2;20;False
2022-11-20;67;0;20;2;25;False
2022-11-27;66;1;22;5;24;False
2022-12-04;63;0;100;6;21;False
2022-12-11;66;1;22;2;21;False
2022-12-18;53;0;15;1;20;False
2022-12-25;34;0;16;2;26;False
2023-01-01;61;1;19;4;30;False
2023-01-08;80;0;21;2;28;False
2023-01-15;72;0;28;2;27;False
2023-01-22;81;0;22;2;25;False
2023-01-29;79;0;34;1;27;False
