date;Baltimore;Richard Burton;World Bank;Neuroscience;air travel;isPartial
2023-01-01;44;100;29;14;37;False
2023-01-02;47;21;42;25;44;False
2023-01-03;27;12;36;20;28;False
2023-01-04;25;12;39;30;43;False
2023-01-05;25;8;37;22;35;False
2023-01-06;27;7;30;21;36;False
2023-01-07;36;9;21;17;26;False
2023-01-08;34;11;29;20;41;False
2023-01-09;25;13;35;28;24;False
2023-01-10;37;9;32;30;38;False
2023-01-11;22;6;35;31;43;False
2023-01-12;32;0;39;31;36;False
2023-01-13;33;5;29;21;29;False
2023-01-14;33;9;18;17;27;False
2023-01-15;37;13;18;5;32;False
2023-01-16;43;4;40;30;33;False
2023-01-17;30;4;43;30;27;False
2023-01-18;27;8;35;39;39;False
2023-01-19;23;0;34;23;35;False
2023-01-20;23;12;47;26;29;False
2023-01-21;26;14;28;18;31;False
2023-01-22;29;8;29;23;34;False
2023-01-23;28;3;35;35;35;False
2023-01-24;24;11;31;35;27;False
2023-01-25;26;12;35;32;36;False
2023-01-26;28;10;37;27;33;False
2023-01-27;22;4;32;32;23;False
2023-01-28;15;4;20;13;32;False
2023-01-29;24;16;27;19;29;False
2023-01-30;37;5;29;25;48;False
2023-01-31;31;6;42;33;41;False
