date;Josh Widdicombe;Lancashire;Mafia;Adam McKay;air travel;isPartial
2022-01-02;6;48;19;3;6;False
2022-01-09;3;52;17;2;7;False
2022-01-16;3;48;14;1;6;False
2022-01-23;3;51;14;1;6;False
2022-01-30;2;49;16;1;7;False
2022-02-06;2;50;14;1;7;False
2022-02-13;2;51;14;1;7;False
2022-02-20;2;51;15;1;7;False
2022-02-27;2;47;14;1;6;False
2022-03-06;2;48;13;1;7;False
2022-03-13;2;50;13;0;6;False
2022-03-20;2;48;12;1;6;False
2022-03-27;1;45;12;1;7;False
2022-04-03;1;48;13;0;6;False
2022-04-10;3;52;15;0;5;False
2022-04-17;1;54;15;0;6;False
2022-04-24;1;55;14;0;6;False
2022-05-01;2;57;15;0;6;False
2022-05-08;1;56;15;0;6;False
2022-05-15;1;52;14;0;7;False
2022-05-22;1;53;14;0;6;False
2022-05-29;1;56;15;0;6;False
2022-06-05;1;57;15;0;7;False
2022-06-12;1;54;15;0;6;False
2022-06-19;1;54;14;0;6;False
2022-06-26;1;50;15;0;6;False
2022-07-03;1;61;16;0;7;False
2022-07-10;2;57;16;0;7;False
2022-07-17;2;61;16;0;7;False
2022-07-24;1;57;18;0;6;False
2022-07-31;1;50;17;0;6;False
2022-08-07;2;53;15;0;6;False
2022-08-14;1;49;14;0;6;False
2022-08-21;1;49;15;0;5;False
2022-08-28;3;59;17;0;5;False
2022-09-04;1;52;15;0;6;False
2022-09-11;1;53;15;0;5;False
2022-09-18;1;50;16;0;5;False
2022-09-25;1;51;20;0;5;False
2022-10-02;1;44;19;0;5;False
2022-10-09;2;48;16;0;5;False
2022-10-16;2;45;12;0;4;False
2022-10-23;2;43;13;0;4;False
2022-10-30;1;44;11;0;4;False
2022-11-06;2;46;12;0;4;False
2022-11-13;1;45;13;0;4;False
2022-11-20;1;31;11;0;4;False
2022-11-27;3;43;13;0;4;False
2022-12-04;2;38;11;0;4;False
2022-12-11;1;40;11;0;4;False
2022-12-18;1;39;13;0;4;False
2022-12-25;1;42;19;0;5;False
2023-01-01;3;61;17;0;6;False
2023-01-08;1;68;15;0;5;False
2023-01-15;2;73;21;0;5;False
2023-01-22;1;69;14;0;5;False
2023-01-29;1;100;15;0;5;False
