date;Måneskin;Bob Dylan;Iraq;nurses' strike;air travel;isPartial
2022-01-02;0;25;39;0;24;False
2022-01-09;0;25;37;0;26;False
2022-01-16;1;25;34;0;21;False
2022-01-23;0;28;41;0;23;False
2022-01-30;1;19;35;0;26;False
2022-02-06;2;19;35;0;26;False
2022-02-13;1;19;33;0;26;False
2022-02-20;1;20;61;0;26;False
2022-02-27;0;19;82;0;23;False
2022-03-06;1;24;66;0;24;False
2022-03-13;1;23;85;0;24;False
2022-03-20;1;22;52;0;24;False
2022-03-27;1;19;45;0;25;False
2022-04-03;1;24;41;0;23;False
2022-04-10;1;26;37;0;20;False
2022-04-17;1;23;53;0;22;False
2022-04-24;0;21;43;0;23;False
2022-05-01;0;22;38;0;23;False
2022-05-08;7;21;37;0;24;False
2022-05-15;4;25;58;0;25;False
2022-05-22;2;30;37;0;24;False
2022-05-29;2;20;35;0;24;False
2022-06-05;1;22;58;1;27;False
2022-06-12;1;20;40;0;23;False
2022-06-19;1;23;37;3;22;False
2022-06-26;1;23;35;1;23;False
2022-07-03;1;27;32;0;25;False
2022-07-10;0;86;37;1;26;False
2022-07-17;1;33;40;1;24;False
2022-07-24;1;30;36;1;24;False
2022-07-31;1;23;36;0;22;False
2022-08-07;1;24;35;9;21;False
2022-08-14;1;22;27;1;21;False
2022-08-21;1;24;32;1;18;False
2022-08-28;2;33;46;1;20;False
2022-09-04;1;32;35;1;21;False
2022-09-11;1;25;40;1;19;False
2022-09-18;0;24;59;1;18;False
2022-09-25;0;27;55;1;18;False
2022-10-02;1;28;40;13;18;False
2022-10-09;1;35;42;8;17;False
2022-10-16;1;48;35;2;15;False
2022-10-23;1;57;34;6;14;False
2022-10-30;1;57;37;5;14;False
2022-11-06;1;32;42;87;16;False
2022-11-13;0;25;40;16;13;False
2022-11-20;1;25;53;32;17;False
2022-11-27;1;31;34;33;16;False
2022-12-04;1;23;34;25;14;False
2022-12-11;1;21;33;100;14;False
2022-12-18;1;49;31;65;13;False
2022-12-25;1;28;29;11;18;False
2023-01-01;0;23;36;12;21;False
2023-01-08;1;20;48;17;19;False
2023-01-15;2;22;65;50;18;False
2023-01-22;1;22;37;12;17;False
2023-01-29;2;25;37;16;18;False
