date;Solar power;Francisco de Goya;Adelaide holidays;Brisbane Lions;air travel;isPartial
2022-01-02;36;0;0;0;61;False
2022-01-09;45;2;0;1;71;False
2022-01-16;38;0;0;0;53;False
2022-01-23;43;0;1;0;58;False
2022-01-30;51;0;0;0;67;False
2022-02-06;47;0;0;1;66;False
2022-02-13;36;1;0;0;66;False
2022-02-20;52;0;1;0;67;False
2022-02-27;56;1;0;0;59;False
2022-03-06;74;0;0;0;62;False
2022-03-13;61;0;0;2;61;False
2022-03-20;75;0;0;0;60;False
2022-03-27;67;0;0;0;64;False
2022-04-03;79;0;0;1;59;False
2022-04-10;62;2;0;1;50;False
2022-04-17;64;0;0;1;55;False
2022-04-24;58;1;0;0;58;False
2022-05-01;62;1;2;1;60;False
2022-05-08;61;0;0;0;61;False
2022-05-15;60;0;0;0;64;False
2022-05-22;63;0;0;1;60;False
2022-05-29;59;0;0;0;61;False
2022-06-05;59;1;3;1;69;False
2022-06-12;63;0;2;0;62;False
2022-06-19;56;1;0;1;56;False
2022-06-26;59;0;1;0;60;False
2022-07-03;53;0;0;0;63;False
2022-07-10;70;0;0;0;65;False
2022-07-17;62;1;0;0;62;False
2022-07-24;65;0;0;0;62;False
2022-07-31;58;1;1;1;55;False
2022-08-07;88;1;1;0;54;False
2022-08-14;65;0;0;1;53;False
2022-08-21;85;0;2;0;46;False
2022-08-28;100;1;2;0;51;False
2022-09-04;73;0;0;1;55;False
2022-09-11;54;0;0;0;48;False
2022-09-18;56;0;1;0;47;False
2022-09-25;55;1;0;0;47;False
2022-10-02;65;1;2;0;45;False
2022-10-09;58;1;0;0;44;False
2022-10-16;62;2;1;1;39;False
2022-10-23;49;0;0;0;37;False
2022-10-30;54;0;1;1;36;False
2022-11-06;52;0;0;0;41;False
2022-11-13;50;0;0;0;34;False
2022-11-20;45;0;1;1;43;False
2022-11-27;48;0;1;0;42;False
2022-12-04;41;0;0;0;35;False
2022-12-11;41;0;0;0;36;False
2022-12-18;32;0;0;1;34;False
2022-12-25;30;1;0;0;45;False
2023-01-01;37;2;1;1;53;False
2023-01-08;41;0;1;1;49;False
2023-01-15;41;0;0;1;48;False
2023-01-22;42;0;0;0;44;False
2023-01-29;47;1;0;1;47;False
