date;Research and development;Horse racing tips;Investments;Psychiatry;air travel;isPartial
2022-01-02;6;27;84;14;32;False
2022-01-09;5;27;90;19;35;False
2022-01-16;6;26;88;19;27;False
2022-01-23;8;30;85;21;30;False
2022-01-30;6;28;100;23;34;False
2022-02-06;5;26;90;20;34;False
2022-02-13;7;27;78;20;34;False
2022-02-20;5;27;89;18;35;False
2022-02-27;8;26;84;21;31;False
2022-03-06;7;29;88;20;32;False
2022-03-13;7;70;86;21;32;False
2022-03-20;6;32;87;21;31;False
2022-03-27;7;31;84;31;33;False
2022-04-03;6;42;81;24;30;False
2022-04-10;5;32;72;18;26;False
2022-04-17;5;33;69;18;29;False
2022-04-24;5;30;77;23;30;False
2022-05-01;5;34;76;21;31;False
2022-05-08;7;31;86;22;32;False
2022-05-15;6;30;80;20;33;False
2022-05-22;6;28;74;20;31;False
2022-05-29;4;35;59;15;32;False
2022-06-05;5;30;74;20;36;False
2022-06-12;4;43;78;16;31;False
2022-06-19;5;31;74;18;29;False
2022-06-26;5;31;74;18;31;False
2022-07-03;4;32;78;18;33;False
2022-07-10;4;30;73;20;34;False
2022-07-17;4;33;70;19;32;False
2022-07-24;6;41;81;21;32;False
2022-07-31;4;32;73;17;29;False
2022-08-07;4;30;75;20;28;False
2022-08-14;4;30;72;16;28;False
2022-08-21;5;26;80;21;24;False
2022-08-28;3;26;69;18;26;False
2022-09-04;4;25;78;21;28;False
2022-09-11;5;30;74;20;25;False
2022-09-18;4;27;70;20;24;False
2022-09-25;6;28;84;22;24;False
2022-10-02;7;27;77;21;23;False
2022-10-09;6;28;80;23;22;False
2022-10-16;6;26;77;20;20;False
2022-10-23;5;29;77;22;19;False
2022-10-30;5;28;78;22;19;False
2022-11-06;7;25;78;24;21;False
2022-11-13;7;27;77;22;18;False
2022-11-20;5;23;65;19;22;False
2022-11-27;6;23;76;20;22;False
2022-12-04;7;27;68;21;18;False
2022-12-11;6;20;62;20;19;False
2022-12-18;5;23;57;16;18;False
2022-12-25;3;41;46;14;23;False
2023-01-01;5;29;74;20;27;False
2023-01-08;8;27;83;25;25;False
2023-01-15;7;25;81;27;25;False
2023-01-22;7;22;88;23;23;False
2023-01-29;7;27;91;26;25;False
