date;Farming;Ice hockey;Jess Phillips;Claude Monet;air travel;isPartial
2022-01-02;100;29;2;3;21;False
2022-01-09;95;31;8;4;24;False
2022-01-16;86;28;4;3;18;False
2022-01-23;86;30;3;3;20;False
2022-01-30;91;51;4;4;23;False
2022-02-06;78;72;4;2;23;False
2022-02-13;76;85;2;2;23;False
2022-02-20;76;51;1;3;23;False
2022-02-27;76;31;3;2;20;False
2022-03-06;85;34;2;2;21;False
2022-03-13;78;30;2;2;21;False
2022-03-20;80;25;1;4;21;False
2022-03-27;73;26;2;3;22;False
2022-04-03;71;27;2;3;20;False
2022-04-10;72;27;3;1;17;False
2022-04-17;71;25;3;3;19;False
2022-04-24;69;26;2;4;20;False
2022-05-01;74;27;2;3;21;False
2022-05-08;72;25;3;3;21;False
2022-05-15;82;32;8;3;22;False
2022-05-22;81;28;5;2;21;False
2022-05-29;78;22;3;2;21;False
2022-06-05;79;14;3;2;24;False
2022-06-12;80;14;3;3;21;False
2022-06-19;76;12;2;2;19;False
2022-06-26;72;12;3;2;21;False
2022-07-03;69;12;7;3;22;False
2022-07-10;75;13;3;2;23;False
2022-07-17;68;12;3;2;21;False
2022-07-24;72;15;6;2;21;False
2022-07-31;69;14;2;1;19;False
2022-08-07;76;14;1;2;19;False
2022-08-14;69;15;1;1;18;False
2022-08-21;71;17;2;2;16;False
2022-08-28;70;18;2;2;17;False
2022-09-04;73;21;4;2;19;False
2022-09-11;72;23;1;4;16;False
2022-09-18;71;23;1;3;16;False
2022-09-25;70;27;10;4;16;False
2022-10-02;76;27;4;3;15;False
2022-10-09;71;27;10;2;15;False
2022-10-16;74;28;24;2;14;False
2022-10-23;68;28;5;3;13;False
2022-10-30;70;26;4;2;13;False
2022-11-06;82;33;4;3;14;False
2022-11-13;69;26;3;3;12;False
2022-11-20;74;27;2;2;15;False
2022-11-27;68;30;2;2;14;False
2022-12-04;67;27;1;3;12;False
2022-12-11;73;31;2;2;13;False
2022-12-18;70;31;1;1;12;False
2022-12-25;72;39;2;2;16;False
2023-01-01;79;35;1;3;18;False
2023-01-08;76;33;2;5;17;False
2023-01-15;79;34;2;4;16;False
2023-01-22;79;36;3;4;15;False
2023-01-29;80;32;2;3;16;False
