date;Women's World Cup;Benfica;Jon Richardson;New York Giants;air travel;isPartial
2022-01-02;0;4;2;2;9;False
2022-01-09;1;7;4;2;10;False
2022-01-16;1;5;3;1;7;False
2022-01-23;0;8;2;1;8;False
2022-01-30;1;9;2;1;9;False
2022-02-06;1;8;2;1;9;False
2022-02-13;1;8;2;1;9;False
2022-02-20;1;12;2;1;9;False
2022-02-27;1;7;4;1;8;False
2022-03-06;2;7;3;0;9;False
2022-03-13;2;23;2;1;9;False
2022-03-20;2;10;2;1;8;False
2022-03-27;3;10;2;1;9;False
2022-04-03;2;93;3;1;8;False
2022-04-10;1;100;2;1;7;False
2022-04-17;1;15;2;1;8;False
2022-04-24;1;8;2;1;8;False
2022-05-01;1;10;2;1;8;False
2022-05-08;1;8;2;1;9;False
2022-05-15;1;4;1;1;9;False
2022-05-22;1;4;2;1;8;False
2022-05-29;1;5;1;1;9;False
2022-06-05;1;8;1;1;10;False
2022-06-12;1;8;2;1;9;False
2022-06-19;1;5;3;1;8;False
2022-06-26;1;4;2;1;8;False
2022-07-03;3;5;2;1;9;False
2022-07-10;4;5;2;1;9;False
2022-07-17;5;8;2;1;9;False
2022-07-24;8;17;2;1;9;False
2022-07-31;17;11;1;1;8;False
2022-08-07;2;10;1;1;8;False
2022-08-14;1;11;1;1;7;False
2022-08-21;1;12;2;1;6;False
2022-08-28;3;13;2;1;7;False
2022-09-04;5;12;1;1;8;False
2022-09-11;2;15;1;2;7;False
2022-09-18;2;10;2;2;7;False
2022-09-25;2;8;2;3;7;False
2022-10-02;8;19;5;4;6;False
2022-10-09;9;20;3;5;6;False
2022-10-16;5;14;2;2;5;False
2022-10-23;6;21;2;2;5;False
2022-10-30;8;15;2;2;5;False
2022-11-06;13;11;2;1;6;False
2022-11-13;7;6;1;2;5;False
2022-11-20;10;6;2;2;6;False
2022-11-27;8;4;1;1;6;False
2022-12-04;8;6;1;1;5;False
2022-12-11;5;7;1;2;5;False
2022-12-18;6;5;3;2;5;False
2022-12-25;2;11;4;1;6;False
2023-01-01;2;8;2;1;7;False
2023-01-08;2;8;4;1;7;False
2023-01-15;2;13;3;3;7;False
2023-01-22;2;9;3;2;6;False
2023-01-29;3;16;3;1;7;False
