date;Compost;Drag;Scams;Vincent van Gogh;air travel;isPartial
2023-01-01;16;45;6;3;9;False
2023-01-02;19;44;9;3;10;False
2023-01-03;12;53;11;3;7;False
2023-01-04;13;53;9;3;10;False
2023-01-05;16;56;12;2;8;False
2023-01-06;19;71;9;5;8;False
2023-01-07;19;100;7;3;6;False
2023-01-08;22;84;8;3;10;False
2023-01-09;16;63;9;4;6;False
2023-01-10;17;56;9;1;9;False
2023-01-11;13;52;14;3;10;False
2023-01-12;14;52;13;2;8;False
2023-01-13;18;57;11;3;7;False
2023-01-14;18;67;9;3;6;False
2023-01-15;21;65;8;3;7;False
2023-01-16;18;50;11;2;8;False
2023-01-17;16;46;9;3;6;False
2023-01-18;12;54;12;5;9;False
2023-01-19;13;46;12;4;8;False
2023-01-20;14;60;13;2;7;False
2023-01-21;20;68;9;4;7;False
2023-01-22;23;74;9;4;8;False
2023-01-23;14;63;14;4;8;False
2023-01-24;20;58;14;3;6;False
2023-01-25;13;67;15;3;8;False
2023-01-26;18;55;13;3;8;False
2023-01-27;15;58;11;1;5;False
2023-01-28;25;75;9;2;7;False
2023-01-29;28;67;9;4;7;False
2023-01-30;20;56;13;6;11;False
2023-01-31;21;50;13;4;9;False
