date;Washington state;Prisons and probation;Arm;Donald Trump;air travel;isPartial
2023-01-01;2;0;86;14;6;False
2023-01-02;1;0;88;11;7;False
2023-01-03;1;0;91;8;4;False
2023-01-04;5;0;84;13;7;False
2023-01-05;3;0;92;10;6;False
2023-01-06;2;0;83;12;6;False
2023-01-07;2;0;91;12;4;False
2023-01-08;2;1;90;12;6;False
2023-01-09;1;0;84;9;4;False
2023-01-10;1;0;91;9;6;False
2023-01-11;1;1;88;8;7;False
2023-01-12;1;0;95;9;6;False
2023-01-13;2;0;91;8;5;False
2023-01-14;3;0;87;10;4;False
2023-01-15;2;0;85;11;5;False
2023-01-16;2;1;92;7;5;False
2023-01-17;2;1;91;7;4;False
2023-01-18;2;0;90;7;6;False
2023-01-19;2;0;85;9;6;False
2023-01-20;2;0;89;10;4;False
2023-01-21;3;0;94;8;5;False
2023-01-22;2;0;90;7;5;False
2023-01-23;1;0;100;8;5;False
2023-01-24;2;0;94;10;4;False
2023-01-25;1;0;90;8;6;False
2023-01-26;2;0;90;12;5;False
2023-01-27;2;0;85;10;4;False
2023-01-28;2;0;86;7;5;False
2023-01-29;1;0;97;8;5;False
2023-01-30;2;1;96;9;8;False
2023-01-31;3;0;87;11;6;False
