date;Construction industry;US Senate;Saving money;Covid inquiry;air travel;isPartial
2022-01-02;4;1;72;1;20;False
2022-01-09;5;1;63;1;22;False
2022-01-16;5;2;63;1;17;False
2022-01-23;5;1;65;1;19;False
2022-01-30;5;1;80;1;22;False
2022-02-06;6;1;62;1;22;False
2022-02-13;5;1;56;1;22;False
2022-02-20;6;1;64;0;22;False
2022-02-27;5;2;67;1;19;False
2022-03-06;5;1;72;1;20;False
2022-03-13;7;2;65;1;20;False
2022-03-20;6;1;75;1;20;False
2022-03-27;6;1;79;1;21;False
2022-04-03;5;1;69;2;19;False
2022-04-10;4;1;61;0;17;False
2022-04-17;5;1;62;0;19;False
2022-04-24;6;1;60;1;19;False
2022-05-01;6;2;67;0;20;False
2022-05-08;7;2;58;1;20;False
2022-05-15;4;2;66;1;21;False
2022-05-22;4;2;75;1;20;False
2022-05-29;4;1;55;0;20;False
2022-06-05;4;2;67;0;23;False
2022-06-12;4;1;63;0;20;False
2022-06-19;5;2;67;0;18;False
2022-06-26;3;1;62;1;20;False
2022-07-03;5;1;58;1;21;False
2022-07-10;4;1;65;0;22;False
2022-07-17;3;1;63;2;21;False
2022-07-24;4;2;72;1;20;False
2022-07-31;4;2;75;0;18;False
2022-08-07;5;2;72;1;18;False
2022-08-14;4;1;70;1;17;False
2022-08-21;4;1;85;1;15;False
2022-08-28;3;1;81;1;17;False
2022-09-04;5;1;75;0;18;False
2022-09-11;4;1;69;1;16;False
2022-09-18;4;1;78;1;15;False
2022-09-25;7;1;92;0;15;False
2022-10-02;5;1;82;6;15;False
2022-10-09;5;1;82;1;14;False
2022-10-16;6;2;98;1;13;False
2022-10-23;5;2;83;0;12;False
2022-10-30;5;3;92;2;12;False
2022-11-06;6;41;100;1;13;False
2022-11-13;6;16;88;1;11;False
2022-11-20;5;2;71;1;14;False
2022-11-27;6;3;68;1;14;False
2022-12-04;5;6;60;1;12;False
2022-12-11;5;1;63;1;12;False
2022-12-18;3;1;59;0;11;False
2022-12-25;1;1;62;0;15;False
2023-01-01;5;3;94;0;17;False
2023-01-08;6;1;70;0;16;False
2023-01-15;6;1;75;1;16;False
2023-01-22;4;1;74;1;14;False
2023-01-29;6;1;78;1;16;False
