date;Superhero movies;Harry Kane;mars;Missouri;air travel;isPartial
2023-01-01;3;30;60;14;10;False
2023-01-02;0;19;60;8;12;False
2023-01-03;2;15;63;9;8;False
2023-01-04;0;45;62;10;12;False
2023-01-05;1;43;65;8;10;False
2023-01-06;0;18;65;11;10;False
2023-01-07;1;36;56;3;7;False
2023-01-08;1;26;75;7;11;False
2023-01-09;1;21;61;8;7;False
2023-01-10;2;30;75;6;10;False
2023-01-11;2;21;72;5;12;False
2023-01-12;1;23;76;8;10;False
2023-01-13;1;17;76;8;8;False
2023-01-14;0;23;77;11;7;False
2023-01-15;0;46;71;14;9;False
2023-01-16;2;21;81;8;9;False
2023-01-17;1;25;78;5;7;False
2023-01-18;0;23;84;8;11;False
2023-01-19;1;33;99;7;10;False
2023-01-20;1;30;88;12;8;False
2023-01-21;0;44;100;9;8;False
2023-01-22;0;33;100;7;9;False
2023-01-23;0;95;81;7;9;False
2023-01-24;0;56;87;7;7;False
2023-01-25;0;26;86;8;10;False
2023-01-26;1;17;83;7;9;False
2023-01-27;1;16;90;8;6;False
2023-01-28;0;29;83;6;9;False
2023-01-29;0;15;86;6;8;False
2023-01-30;0;22;78;6;13;False
2023-01-31;2;16;79;7;11;False
