date;Queensland politics;Avatar: The Way of Water;Michael Clarke;Indigenous incarceration;air travel;isPartial
2022-01-02;0;0;10;0;34;False
2022-01-09;0;0;5;0;39;False
2022-01-16;0;0;5;0;29;False
2022-01-23;0;0;5;0;32;False
2022-01-30;0;0;4;0;36;False
2022-02-06;0;0;5;0;36;False
2022-02-13;0;0;5;0;36;False
2022-02-20;0;0;4;0;37;False
2022-02-27;0;0;7;0;32;False
2022-03-06;0;0;9;0;34;False
2022-03-13;0;0;6;0;34;False
2022-03-20;0;0;7;0;33;False
2022-03-27;0;0;6;0;35;False
2022-04-03;0;0;5;0;32;False
2022-04-10;0;0;5;0;28;False
2022-04-17;0;1;5;0;31;False
2022-04-24;0;3;8;0;32;False
2022-05-01;0;4;9;0;33;False
2022-05-08;0;11;6;0;34;False
2022-05-15;0;5;5;0;35;False
2022-05-22;0;2;5;0;33;False
2022-05-29;0;1;5;0;34;False
2022-06-05;0;1;6;0;38;False
2022-06-12;0;1;5;0;33;False
2022-06-19;0;1;7;0;31;False
2022-06-26;0;1;5;0;33;False
2022-07-03;0;2;3;0;35;False
2022-07-10;0;2;6;0;36;False
2022-07-17;0;2;6;0;34;False
2022-07-24;0;1;6;0;34;False
2022-07-31;0;0;7;0;30;False
2022-08-07;0;0;5;0;30;False
2022-08-14;0;0;5;0;29;False
2022-08-21;0;1;4;0;25;False
2022-08-28;0;1;5;0;28;False
2022-09-04;0;1;5;0;30;False
2022-09-11;0;2;3;0;26;False
2022-09-18;0;5;5;0;26;False
2022-09-25;0;4;4;0;26;False
2022-10-02;0;2;6;0;25;False
2022-10-09;0;3;5;0;24;False
2022-10-16;0;2;7;0;22;False
2022-10-23;0;3;5;0;20;False
2022-10-30;0;10;4;0;20;False
2022-11-06;0;5;3;0;22;False
2022-11-13;0;4;6;0;19;False
2022-11-20;0;10;17;0;23;False
2022-11-27;0;11;5;0;23;False
2022-12-04;0;28;7;0;19;False
2022-12-11;0;84;4;0;20;False
2022-12-18;0;100;4;0;19;False
2022-12-25;0;98;4;0;25;False
2023-01-01;0;73;4;0;29;False
2023-01-08;0;45;9;0;27;False
2023-01-15;0;35;15;0;26;False
2023-01-22;0;29;16;0;24;False
2023-01-29;0;28;6;0;26;False
