date;Communities;US elections 2024;tennis;Marketing & PR;air travel;isPartial
2022-01-02;1;0;15;0;1;False
2022-01-09;1;0;20;0;1;False
2022-01-16;1;0;25;0;1;False
2022-01-23;1;0;26;0;1;False
2022-01-30;1;0;24;0;1;False
2022-02-06;1;0;13;0;1;False
2022-02-13;1;0;13;0;1;False
2022-02-20;1;0;17;0;1;False
2022-02-27;1;0;12;0;1;False
2022-03-06;1;0;13;0;1;False
2022-03-13;1;0;17;0;1;False
2022-03-20;1;0;17;0;1;False
2022-03-27;1;0;15;0;1;False
2022-04-03;1;0;13;0;1;False
2022-04-10;1;0;15;0;1;False
2022-04-17;1;0;17;0;1;False
2022-04-24;1;0;16;0;1;False
2022-05-01;1;0;20;0;1;False
2022-05-08;1;0;20;0;1;False
2022-05-15;1;0;16;0;1;False
2022-05-22;1;0;24;0;1;False
2022-05-29;1;0;35;0;1;False
2022-06-05;1;0;26;0;1;False
2022-06-12;1;0;41;0;1;False
2022-06-19;1;0;39;0;1;False
2022-06-26;1;0;90;0;1;False
2022-07-03;1;0;100;0;1;False
2022-07-10;1;0;41;0;1;False
2022-07-17;1;0;17;0;1;False
2022-07-24;1;0;16;0;1;False
2022-07-31;1;0;18;0;1;False
2022-08-07;1;0;20;0;1;False
2022-08-14;1;0;18;0;1;False
2022-08-21;1;0;16;0;1;False
2022-08-28;1;0;35;0;1;False
2022-09-04;1;0;31;0;1;False
2022-09-11;1;0;18;0;1;False
2022-09-18;1;0;16;0;1;False
2022-09-25;1;0;13;0;1;False
2022-10-02;1;0;13;0;1;False
2022-10-09;1;0;12;0;1;False
2022-10-16;1;0;12;0;1;False
2022-10-23;1;0;12;0;0;False
2022-10-30;1;0;12;0;0;False
2022-11-06;1;0;12;0;1;False
2022-11-13;1;0;12;0;0;False
2022-11-20;1;0;10;0;1;False
2022-11-27;1;0;9;0;1;False
2022-12-04;1;0;9;0;0;False
2022-12-11;1;0;9;0;0;False
2022-12-18;1;0;9;0;0;False
2022-12-25;0;0;9;0;1;False
2023-01-01;1;0;13;0;1;False
2023-01-08;1;0;12;0;1;False
2023-01-15;1;0;27;0;1;False
2023-01-22;1;0;20;0;1;False
2023-01-29;1;0;14;0;1;False
