date;elephants;UK criminal justice;Vivienne Westwood;Hospitality industry;air travel;isPartial
2023-01-01;9;0;100;1;6;False
2023-01-02;9;0;74;1;8;False
2023-01-03;8;0;55;2;5;False
2023-01-04;9;0;42;1;8;False
2023-01-05;10;1;38;2;6;False
2023-01-06;7;0;37;1;6;False
2023-01-07;6;0;43;1;5;False
2023-01-08;10;0;44;1;7;False
2023-01-09;8;1;36;2;4;False
2023-01-10;9;1;36;2;7;False
2023-01-11;9;0;33;2;8;False
2023-01-12;8;1;51;1;6;False
2023-01-13;8;2;45;2;5;False
2023-01-14;9;1;46;0;5;False
2023-01-15;9;1;46;1;6;False
2023-01-16;8;0;30;1;6;False
2023-01-17;8;0;27;1;5;False
2023-01-18;8;1;24;1;7;False
2023-01-19;6;1;25;2;6;False
2023-01-20;7;0;31;1;5;False
2023-01-21;9;0;32;1;5;False
2023-01-22;10;1;53;1;6;False
2023-01-23;8;1;44;0;6;False
2023-01-24;8;1;30;1;5;False
2023-01-25;7;1;30;1;6;False
2023-01-26;8;1;24;1;6;False
2023-01-27;7;0;21;1;4;False
2023-01-28;6;0;28;0;6;False
2023-01-29;7;0;30;0;5;False
2023-01-30;8;0;24;2;8;False
2023-01-31;7;0;29;0;7;False
