date;Jaguar Land Rover;Maternal health;Los Angeles Clippers;Arizona;air travel;isPartial
2022-01-02;9;1;1;43;23;False
2022-01-09;10;1;1;41;26;False
2022-01-16;11;1;0;40;19;False
2022-01-23;11;1;1;42;21;False
2022-01-30;12;1;0;42;24;False
2022-02-06;11;1;1;37;24;False
2022-02-13;9;1;0;45;24;False
2022-02-20;9;1;0;42;25;False
2022-02-27;11;1;0;37;22;False
2022-03-06;11;2;0;40;23;False
2022-03-13;11;1;0;44;23;False
2022-03-20;10;2;0;50;22;False
2022-03-27;10;2;0;45;23;False
2022-04-03;10;1;0;40;22;False
2022-04-10;9;1;1;47;19;False
2022-04-17;8;1;0;48;20;False
2022-04-24;9;2;0;44;21;False
2022-05-01;10;4;0;50;22;False
2022-05-08;10;2;0;51;23;False
2022-05-15;10;1;0;49;23;False
2022-05-22;11;1;0;46;22;False
2022-05-29;8;1;0;50;23;False
2022-06-05;11;1;0;48;25;False
2022-06-12;10;1;0;54;23;False
2022-06-19;10;1;0;53;20;False
2022-06-26;12;1;0;48;22;False
2022-07-03;9;1;0;48;23;False
2022-07-10;10;1;0;60;24;False
2022-07-17;12;0;1;63;23;False
2022-07-24;10;1;0;57;23;False
2022-07-31;10;1;0;60;20;False
2022-08-07;10;1;0;57;20;False
2022-08-14;10;1;0;49;19;False
2022-08-21;11;0;0;50;17;False
2022-08-28;11;1;0;49;19;False
2022-09-04;12;0;0;42;20;False
2022-09-11;11;1;0;41;17;False
2022-09-18;15;1;0;47;17;False
2022-09-25;11;1;0;37;17;False
2022-10-02;13;2;0;39;16;False
2022-10-09;13;1;0;37;16;False
2022-10-16;10;1;0;37;14;False
2022-10-23;10;1;0;35;13;False
2022-10-30;11;2;0;39;13;False
2022-11-06;11;1;0;100;15;False
2022-11-13;15;1;0;75;13;False
2022-11-20;11;1;1;42;16;False
2022-11-27;12;1;0;39;15;False
2022-12-04;10;1;0;38;13;False
2022-12-11;9;1;0;38;13;False
2022-12-18;9;1;0;42;13;False
2022-12-25;6;0;0;44;17;False
2023-01-01;11;1;0;37;19;False
2023-01-08;13;2;0;35;18;False
2023-01-15;13;1;1;37;18;False
2023-01-22;13;1;0;38;16;False
2023-01-29;13;1;0;41;17;False
