date;London Irish;Adventure games;Meat industry;Elijah McClain;air travel;isPartial
2022-01-02;51;19;3;0;80;False
2022-01-09;75;18;3;10;92;False
2022-01-16;57;16;0;20;68;False
2022-01-23;99;15;0;0;75;False
2022-01-30;84;13;1;17;85;False
2022-02-06;69;19;3;2;85;False
2022-02-13;73;16;0;0;86;False
2022-02-20;73;17;4;1;87;False
2022-02-27;61;18;1;0;77;False
2022-03-06;71;10;3;1;81;False
2022-03-13;100;16;3;2;80;False
2022-03-20;81;15;4;2;78;False
2022-03-27;58;17;3;0;83;False
2022-04-03;70;17;3;6;76;False
2022-04-10;48;19;2;0;66;False
2022-04-17;50;15;1;1;73;False
2022-04-24;92;14;2;0;75;False
2022-05-01;76;16;0;0;78;False
2022-05-08;67;15;2;0;80;False
2022-05-15;99;11;2;0;83;False
2022-05-22;43;16;3;0;78;False
2022-05-29;37;18;1;1;80;False
2022-06-05;39;15;1;0;89;False
2022-06-12;30;13;0;0;78;False
2022-06-19;35;15;1;0;72;False
2022-06-26;38;17;0;0;78;False
2022-07-03;35;15;1;0;82;False
2022-07-10;35;14;2;0;85;False
2022-07-17;35;16;3;0;81;False
2022-07-24;36;17;1;0;80;False
2022-07-31;31;17;0;0;72;False
2022-08-07;33;16;2;1;70;False
2022-08-14;38;12;1;0;69;False
2022-08-21;43;16;1;0;60;False
2022-08-28;46;18;0;1;66;False
2022-09-04;72;14;3;0;71;False
2022-09-11;61;14;2;0;62;False
2022-09-18;74;16;1;5;61;False
2022-09-25;77;17;2;4;61;False
2022-10-02;53;17;2;2;58;False
2022-10-09;63;12;3;0;57;False
2022-10-16;98;15;1;1;51;False
2022-10-23;74;15;2;0;47;False
2022-10-30;49;15;2;1;47;False
2022-11-06;53;14;3;0;53;False
2022-11-13;44;13;2;0;44;False
2022-11-20;39;15;2;0;56;False
2022-11-27;65;16;3;1;54;False
2022-12-04;50;13;0;0;46;False
2022-12-11;48;18;3;0;47;False
2022-12-18;84;15;1;0;44;False
2022-12-25;61;24;2;0;58;False
2023-01-01;69;18;1;1;68;False
2023-01-08;67;16;2;1;63;False
2023-01-15;69;17;2;0;62;False
2023-01-22;64;16;2;1;57;False
2023-01-29;94;18;0;0;61;False
