date;Indira Gandhi;Napoli;Glyndebourne;The Go-Betweens;air travel;isPartial
2022-01-02;0;13;1;0;6;False
2022-01-09;0;14;1;0;7;False
2022-01-16;0;9;1;0;5;False
2022-01-23;0;9;1;0;6;False
2022-01-30;0;8;1;0;6;False
2022-02-06;0;11;1;0;6;False
2022-02-13;0;18;1;0;6;False
2022-02-20;0;22;1;0;7;False
2022-02-27;0;11;1;0;6;False
2022-03-06;1;13;1;0;6;False
2022-03-13;0;12;1;0;6;False
2022-03-20;0;10;1;0;6;False
2022-03-27;0;8;1;0;6;False
2022-04-03;1;11;1;0;6;False
2022-04-10;0;12;1;0;5;False
2022-04-17;0;13;1;0;5;False
2022-04-24;0;12;1;0;6;False
2022-05-01;0;11;1;0;6;False
2022-05-08;0;8;1;0;6;False
2022-05-15;0;11;2;0;6;False
2022-05-22;0;10;2;0;6;False
2022-05-29;1;9;2;0;6;False
2022-06-05;0;8;2;0;7;False
2022-06-12;0;9;3;0;6;False
2022-06-19;0;8;3;0;5;False
2022-06-26;1;9;4;0;6;False
2022-07-03;0;9;3;0;6;False
2022-07-10;0;11;3;0;6;False
2022-07-17;0;10;2;0;6;False
2022-07-24;0;12;3;0;6;False
2022-07-31;0;10;2;0;5;False
2022-08-07;1;11;3;0;5;False
2022-08-14;1;13;2;0;5;False
2022-08-21;1;19;2;0;4;False
2022-08-28;0;22;1;0;5;False
2022-09-04;1;100;1;0;5;False
2022-09-11;1;44;1;0;5;False
2022-09-18;1;19;1;0;5;False
2022-09-25;0;13;0;0;5;False
2022-10-02;0;23;1;0;4;False
2022-10-09;0;29;1;0;4;False
2022-10-16;0;17;1;0;4;False
2022-10-23;1;53;1;0;4;False
2022-10-30;1;72;1;0;4;False
2022-11-06;0;19;1;0;4;False
2022-11-13;0;9;1;0;3;False
2022-11-20;0;8;1;0;4;False
2022-11-27;0;8;1;0;4;False
2022-12-04;0;8;1;0;3;False
2022-12-11;0;11;1;0;4;False
2022-12-18;0;10;1;0;3;False
2022-12-25;0;9;1;0;4;False
2023-01-01;0;15;1;0;5;False
2023-01-08;0;26;1;0;5;False
2023-01-15;1;22;1;0;5;False
2023-01-22;1;13;1;0;4;False
2023-01-29;0;24;1;0;5;False
