date;edinburgh;cristiano ronaldo;Elvis Presley;The National Trust;air travel;isPartial
2022-01-02;57;1;3;0;1;False
2022-01-09;59;2;2;0;1;False
2022-01-16;56;2;1;0;1;False
2022-01-23;62;3;1;0;1;False
2022-01-30;64;4;1;1;1;False
2022-02-06;61;3;1;0;1;False
2022-02-13;61;2;1;0;1;False
2022-02-20;68;2;1;0;1;False
2022-02-27;59;1;1;0;1;False
2022-03-06;57;3;1;0;1;False
2022-03-13;62;2;1;1;1;False
2022-03-20;65;1;1;1;1;False
2022-03-27;63;1;1;0;1;False
2022-04-03;64;2;1;0;1;False
2022-04-10;70;3;1;1;1;False
2022-04-17;63;17;1;1;1;False
2022-04-24;61;2;1;0;1;False
2022-05-01;68;2;2;1;1;False
2022-05-08;63;2;1;1;1;False
2022-05-15;68;1;1;1;1;False
2022-05-22;71;1;2;0;1;False
2022-05-29;73;1;2;1;1;False
2022-06-05;69;2;2;0;1;False
2022-06-12;75;2;2;0;1;False
2022-06-19;68;2;4;0;1;False
2022-06-26;68;2;5;0;1;False
2022-07-03;63;3;4;0;1;False
2022-07-10;70;3;3;1;1;False
2022-07-17;70;2;3;0;1;False
2022-07-24;75;3;3;1;1;False
2022-07-31;86;2;3;1;1;False
2022-08-07;86;3;6;1;1;False
2022-08-14;81;2;7;1;1;False
2022-08-21;79;3;4;1;1;False
2022-08-28;78;3;4;1;1;False
2022-09-04;76;2;3;1;1;False
2022-09-11;100;1;2;1;1;False
2022-09-18;72;1;2;1;1;False
2022-09-25;68;2;2;1;1;False
2022-10-02;67;2;2;1;1;False
2022-10-09;68;2;2;1;1;False
2022-10-16;66;3;2;1;1;False
2022-10-23;69;2;2;1;1;False
2022-10-30;64;2;2;0;1;False
2022-11-06;65;2;2;0;1;False
2022-11-13;66;9;1;0;0;False
2022-11-20;61;8;1;0;1;False
2022-11-27;67;4;1;0;1;False
2022-12-04;62;6;2;0;1;False
2022-12-11;64;4;1;0;1;False
2022-12-18;67;6;1;0;0;False
2022-12-25;65;5;3;0;1;False
2023-01-01;63;4;2;0;1;False
2023-01-08;61;2;11;0;1;False
2023-01-15;59;2;3;0;1;False
2023-01-22;66;2;2;0;1;False
2023-01-29;62;2;2;0;1;False
