date;Alia Shawkat;poland;London Philharmonic Orchestra;Brunel University London;air travel;isPartial
2022-01-02;0;100;0;0;19;False
2022-01-09;2;0;0;2;21;False
2022-01-16;1;0;1;2;17;False
2022-01-23;0;0;1;2;18;False
2022-01-30;0;0;0;1;21;False
2022-02-06;0;0;1;1;21;False
2022-02-13;1;0;1;1;21;False
2022-02-20;1;0;1;1;21;False
2022-02-27;1;0;1;2;19;False
2022-03-06;0;0;1;1;20;False
2022-03-13;1;0;1;2;19;False
2022-03-20;0;0;1;1;19;False
2022-03-27;0;0;1;2;20;False
2022-04-03;0;0;1;1;18;False
2022-04-10;1;0;1;1;16;False
2022-04-17;1;0;1;1;18;False
2022-04-24;0;0;0;1;18;False
2022-05-01;0;0;1;2;19;False
2022-05-08;1;0;0;1;19;False
2022-05-15;0;0;1;1;20;False
2022-05-22;1;0;1;1;19;False
2022-05-29;0;0;1;1;19;False
2022-06-05;0;0;0;1;22;False
2022-06-12;0;0;0;1;19;False
2022-06-19;0;0;1;1;18;False
2022-06-26;0;0;1;1;19;False
2022-07-03;0;0;1;2;20;False
2022-07-10;1;0;1;1;21;False
2022-07-17;0;0;1;1;20;False
2022-07-24;0;0;0;2;20;False
2022-07-31;1;0;0;1;18;False
2022-08-07;0;0;1;2;17;False
2022-08-14;0;0;1;2;17;False
2022-08-21;0;0;0;3;15;False
2022-08-28;1;0;0;1;16;False
2022-09-04;1;0;1;2;17;False
2022-09-11;0;0;1;2;15;False
2022-09-18;1;0;1;3;14;False
2022-09-25;1;0;1;2;15;False
2022-10-02;1;0;1;2;14;False
2022-10-09;1;0;0;2;14;False
2022-10-16;1;0;1;1;12;False
2022-10-23;1;0;1;1;12;False
2022-10-30;1;0;1;1;11;False
2022-11-06;0;0;1;0;13;False
2022-11-13;1;0;1;1;11;False
2022-11-20;0;0;1;1;14;False
2022-11-27;1;0;1;2;13;False
2022-12-04;1;0;1;1;11;False
2022-12-11;1;0;1;2;12;False
2022-12-18;1;0;1;1;11;False
2022-12-25;1;0;1;1;14;False
2023-01-01;1;0;0;1;17;False
2023-01-08;2;0;1;2;15;False
2023-01-15;1;0;1;2;15;False
2023-01-22;1;0;1;1;14;False
2023-01-29;1;0;1;1;15;False
