date;Bashar al-Assad;Manchester United Women;Men's health;New York;air travel;isPartial
2023-01-01;0;0;1;100;2;False
2023-01-02;0;0;1;83;3;False
2023-01-03;0;0;1;75;2;False
2023-01-04;0;0;1;73;3;False
2023-01-05;0;0;1;73;2;False
2023-01-06;0;0;1;76;2;False
2023-01-07;0;0;1;74;2;False
2023-01-08;0;0;1;83;3;False
2023-01-09;0;0;1;73;1;False
2023-01-10;0;0;1;75;2;False
2023-01-11;0;0;1;70;3;False
2023-01-12;0;0;0;74;2;False
2023-01-13;0;0;0;79;2;False
2023-01-14;0;0;1;74;2;False
2023-01-15;0;2;1;82;2;False
2023-01-16;0;0;1;73;2;False
2023-01-17;0;0;1;69;2;False
2023-01-18;0;1;1;67;2;False
2023-01-19;0;0;1;66;2;False
2023-01-20;0;0;1;71;2;False
2023-01-21;0;1;0;76;2;False
2023-01-22;1;1;1;81;2;False
2023-01-23;0;0;1;74;2;False
2023-01-24;0;0;1;70;2;False
2023-01-25;0;0;1;69;2;False
2023-01-26;0;0;1;65;2;False
2023-01-27;0;0;1;67;1;False
2023-01-28;0;1;1;68;2;False
2023-01-29;0;1;0;79;2;False
2023-01-30;0;0;1;68;3;False
2023-01-31;0;1;1;67;2;False
