date;Dolly Parton;World Bank;Stew;Toni Morrison;air travel;isPartial
2022-01-02;14;10;79;0;12;False
2022-01-09;12;8;74;1;14;False
2022-01-16;100;7;63;1;10;False
2022-01-23;45;7;60;1;11;False
2022-01-30;16;8;63;1;13;False
2022-02-06;12;8;53;1;13;False
2022-02-13;11;8;49;1;13;False
2022-02-20;11;9;50;1;13;False
2022-02-27;10;10;45;1;11;False
2022-03-06;43;10;48;1;12;False
2022-03-13;31;10;49;1;12;False
2022-03-20;16;10;40;1;12;False
2022-03-27;11;10;36;1;12;False
2022-04-03;11;9;40;1;11;False
2022-04-10;16;8;36;1;10;False
2022-04-17;12;11;29;1;11;False
2022-04-24;11;11;32;1;11;False
2022-05-01;17;11;35;1;12;False
2022-05-08;11;8;31;1;12;False
2022-05-15;10;9;33;1;12;False
2022-05-22;9;8;34;1;12;False
2022-05-29;14;10;30;0;12;False
2022-06-05;12;10;31;1;13;False
2022-06-12;12;7;29;1;12;False
2022-06-19;12;7;26;1;11;False
2022-06-26;15;8;27;0;12;False
2022-07-03;13;7;30;1;12;False
2022-07-10;44;7;24;1;13;False
2022-07-17;28;6;22;0;12;False
2022-07-24;15;7;31;1;12;False
2022-07-31;11;7;30;1;11;False
2022-08-07;12;8;32;1;10;False
2022-08-14;12;6;28;0;10;False
2022-08-21;11;8;33;1;9;False
2022-08-28;14;9;40;1;10;False
2022-09-04;15;8;47;1;11;False
2022-09-11;13;9;53;1;9;False
2022-09-18;12;9;60;1;9;False
2022-09-25;12;8;76;1;9;False
2022-10-02;15;8;87;1;9;False
2022-10-09;13;10;83;1;8;False
2022-10-16;11;9;80;1;8;False
2022-10-23;30;9;74;1;7;False
2022-10-30;16;9;84;1;7;False
2022-11-06;17;11;88;1;8;False
2022-11-13;32;12;86;1;7;False
2022-11-20;13;19;87;1;8;False
2022-11-27;26;21;66;0;8;False
2022-12-04;20;19;67;1;7;False
2022-12-11;20;12;72;1;7;False
2022-12-18;28;8;54;1;7;False
2022-12-25;40;6;56;1;9;False
2023-01-01;36;9;69;2;10;False
2023-01-08;16;9;69;1;9;False
2023-01-15;32;10;75;3;9;False
2023-01-22;20;9;65;1;8;False
2023-01-29;15;9;65;1;9;False
