date;Paris Hilton;Commuting;beth rigby interviews;Syria;air travel;isPartial
2022-01-02;26;5;0;22;28;False
2022-01-09;23;5;0;28;31;False
2022-01-16;29;8;0;25;24;False
2022-01-23;31;6;0;31;26;False
2022-01-30;32;6;1;33;30;False
2022-02-06;19;6;0;28;30;False
2022-02-13;21;5;0;27;30;False
2022-02-20;18;5;0;54;31;False
2022-02-27;12;6;0;91;27;False
2022-03-06;17;6;1;100;28;False
2022-03-13;15;8;0;64;28;False
2022-03-20;15;7;1;53;27;False
2022-03-27;12;7;0;37;29;False
2022-04-03;15;6;0;34;27;False
2022-04-10;16;6;0;34;23;False
2022-04-17;16;6;0;34;26;False
2022-04-24;20;7;0;34;26;False
2022-05-01;15;6;1;26;27;False
2022-05-08;17;6;0;29;28;False
2022-05-15;13;6;0;28;29;False
2022-05-22;14;6;0;27;27;False
2022-05-29;13;5;0;22;28;False
2022-06-05;16;6;0;26;31;False
2022-06-12;19;6;0;24;27;False
2022-06-19;16;7;0;23;25;False
2022-06-26;17;6;0;24;27;False
2022-07-03;15;6;0;20;29;False
2022-07-10;13;7;0;25;30;False
2022-07-17;11;4;0;22;28;False
2022-07-24;12;7;0;22;28;False
2022-07-31;12;6;0;20;25;False
2022-08-07;16;6;1;19;25;False
2022-08-14;13;7;0;21;24;False
2022-08-21;14;6;0;19;21;False
2022-08-28;16;6;0;24;23;False
2022-09-04;15;7;0;21;25;False
2022-09-11;15;6;0;24;22;False
2022-09-18;17;7;0;23;21;False
2022-09-25;16;7;0;22;21;False
2022-10-02;18;8;0;22;20;False
2022-10-09;17;8;0;29;20;False
2022-10-16;25;6;0;23;18;False
2022-10-23;18;5;0;25;17;False
2022-10-30;16;6;0;22;16;False
2022-11-06;18;5;0;21;18;False
2022-11-13;15;7;0;25;16;False
2022-11-20;13;6;1;36;19;False
2022-11-27;12;6;0;38;19;False
2022-12-04;13;4;0;29;16;False
2022-12-11;13;6;0;23;17;False
2022-12-18;16;4;0;25;16;False
2022-12-25;19;5;0;24;20;False
2023-01-01;25;6;0;28;24;False
2023-01-08;20;7;0;31;22;False
2023-01-15;17;5;0;22;21;False
2023-01-22;73;6;1;28;20;False
2023-01-29;23;7;0;30;21;False
