date;Patrick Mahomes;Bees;Makeup;ed sheeran;air travel;isPartial
2023-01-01;1;18;88;23;5;False
2023-01-02;2;22;90;14;6;False
2023-01-03;0;18;78;11;4;False
2023-01-04;0;20;70;12;6;False
2023-01-05;0;20;67;14;5;False
2023-01-06;0;22;67;14;5;False
2023-01-07;2;17;86;17;3;False
2023-01-08;2;18;86;14;5;False
2023-01-09;1;21;67;12;3;False
2023-01-10;1;24;65;11;5;False
2023-01-11;0;18;63;15;6;False
2023-01-12;1;19;69;14;5;False
2023-01-13;0;21;66;15;4;False
2023-01-14;0;20;92;11;4;False
2023-01-15;1;18;81;13;4;False
2023-01-16;1;19;66;13;4;False
2023-01-17;1;19;58;15;4;False
2023-01-18;0;20;62;14;5;False
2023-01-19;0;17;72;18;5;False
2023-01-20;0;23;71;33;4;False
2023-01-21;5;19;100;36;4;False
2023-01-22;7;18;83;18;4;False
2023-01-23;3;20;66;14;5;False
2023-01-24;2;20;63;14;4;False
2023-01-25;1;21;66;13;5;False
2023-01-26;1;19;64;14;4;False
2023-01-27;1;20;72;17;3;False
2023-01-28;2;15;95;17;4;False
2023-01-29;4;18;85;14;4;False
2023-01-30;7;19;67;11;6;False
2023-01-31;4;21;66;13;5;False
