date;Gareth Thomas;Supermarkets;Budget 2023;Chips (french fries);air travel;isPartial
2022-01-02;3;29;0;0;15;False
2022-01-09;1;26;0;0;17;False
2022-01-16;1;25;0;0;13;False
2022-01-23;2;28;0;0;14;False
2022-01-30;4;28;0;0;16;False
2022-02-06;6;25;0;0;16;False
2022-02-13;2;28;0;0;16;False
2022-02-20;4;28;0;0;16;False
2022-02-27;3;28;0;1;14;False
2022-03-06;2;31;0;0;15;False
2022-03-13;3;31;1;1;15;False
2022-03-20;1;31;1;0;14;False
2022-03-27;2;32;1;0;15;False
2022-04-03;1;35;0;0;14;False
2022-04-10;1;82;0;0;12;False
2022-04-17;1;100;0;0;14;False
2022-04-24;1;35;0;0;14;False
2022-05-01;1;42;0;0;14;False
2022-05-08;1;34;0;0;15;False
2022-05-15;2;36;0;1;15;False
2022-05-22;1;40;0;0;15;False
2022-05-29;1;60;0;0;15;False
2022-06-05;1;35;0;0;17;False
2022-06-12;1;37;0;0;14;False
2022-06-19;2;37;0;0;13;False
2022-06-26;2;36;1;1;14;False
2022-07-03;1;39;1;1;15;False
2022-07-10;1;42;0;1;16;False
2022-07-17;1;41;0;0;15;False
2022-07-24;1;45;0;0;15;False
2022-07-31;1;46;0;0;13;False
2022-08-07;11;46;0;0;13;False
2022-08-14;2;41;1;0;13;False
2022-08-21;1;42;1;1;11;False
2022-08-28;1;43;1;0;12;False
2022-09-04;14;43;1;0;13;False
2022-09-11;1;87;1;0;11;False
2022-09-18;1;91;4;1;11;False
2022-09-25;1;34;5;0;11;False
2022-10-02;1;33;2;1;11;False
2022-10-09;1;31;1;0;11;False
2022-10-16;1;32;1;0;9;False
2022-10-23;1;32;1;0;9;False
2022-10-30;1;31;1;0;9;False
2022-11-06;2;27;2;0;10;False
2022-11-13;1;27;11;1;8;False
2022-11-20;2;24;2;1;10;False
2022-11-27;0;25;1;0;10;False
2022-12-04;1;25;2;1;9;False
2022-12-11;1;28;2;1;9;False
2022-12-18;1;55;3;0;8;False
2022-12-25;1;59;3;0;11;False
2023-01-01;1;43;6;1;13;False
2023-01-08;1;26;4;0;12;False
2023-01-15;1;24;6;0;11;False
2023-01-22;1;26;6;1;11;False
2023-01-29;11;26;12;1;11;False
