date;jeremy renner;X-Men: Days of Future Past;Gogglebox;Helena Bonham Carter;air travel;isPartial
2022-01-02;2;0;16;8;4;False
2022-01-09;1;0;9;3;4;False
2022-01-16;1;0;9;2;3;False
2022-01-23;1;0;8;2;4;False
2022-01-30;1;0;8;2;4;False
2022-02-06;1;0;8;1;4;False
2022-02-13;1;0;12;2;4;False
2022-02-20;1;0;15;1;4;False
2022-02-27;1;0;14;2;4;False
2022-03-06;1;0;12;1;4;False
2022-03-13;1;0;12;1;4;False
2022-03-20;1;0;28;1;4;False
2022-03-27;1;0;16;1;4;False
2022-04-03;0;0;12;1;4;False
2022-04-10;1;0;14;2;3;False
2022-04-17;0;0;20;2;4;False
2022-04-24;0;0;15;2;4;False
2022-05-01;0;0;15;3;4;False
2022-05-08;1;0;29;2;4;False
2022-05-15;0;0;13;2;4;False
2022-05-22;1;0;13;2;4;False
2022-05-29;0;0;15;4;4;False
2022-06-05;0;0;13;3;4;False
2022-06-12;1;0;11;2;4;False
2022-06-19;1;0;11;2;4;False
2022-06-26;1;0;14;1;4;False
2022-07-03;1;0;15;1;4;False
2022-07-10;1;0;11;1;4;False
2022-07-17;1;0;9;2;4;False
2022-07-24;1;0;7;1;4;False
2022-07-31;1;0;7;2;4;False
2022-08-07;1;0;8;2;3;False
2022-08-14;0;0;6;2;3;False
2022-08-21;0;0;8;1;3;False
2022-08-28;0;0;10;2;3;False
2022-09-04;0;0;13;2;4;False
2022-09-11;0;0;11;2;3;False
2022-09-18;1;0;10;2;3;False
2022-09-25;1;0;9;2;3;False
2022-10-02;1;0;9;2;3;False
2022-10-09;0;0;10;2;3;False
2022-10-16;0;0;14;1;3;False
2022-10-23;0;0;14;1;2;False
2022-10-30;0;0;11;2;2;False
2022-11-06;0;0;10;4;3;False
2022-11-13;0;0;7;3;2;False
2022-11-20;0;0;7;3;3;False
2022-11-27;0;0;7;5;3;False
2022-12-04;0;0;17;3;2;False
2022-12-11;0;0;13;2;2;False
2022-12-18;1;0;9;2;2;False
2022-12-25;1;0;14;4;3;False
2023-01-01;100;0;10;3;3;False
2023-01-08;14;0;7;4;3;False
2023-01-15;17;0;6;10;3;False
2023-01-22;12;0;5;7;3;False
2023-01-29;3;0;6;8;3;False
