date;The Sun;One Nation;Linda Burney;Mikaela Shiffrin;air travel;isPartial
2022-01-02;84;0;0;0;2;False
2022-01-09;92;0;0;0;2;False
2022-01-16;85;0;0;0;2;False
2022-01-23;81;0;0;0;2;False
2022-01-30;84;0;0;0;2;False
2022-02-06;78;0;0;1;2;False
2022-02-13;81;0;0;0;2;False
2022-02-20;88;0;0;0;2;False
2022-02-27;86;0;0;0;2;False
2022-03-06;85;0;0;0;2;False
2022-03-13;88;0;0;0;2;False
2022-03-20;85;0;0;0;2;False
2022-03-27;84;0;0;0;2;False
2022-04-03;81;0;0;0;2;False
2022-04-10;82;0;0;0;2;False
2022-04-17;79;0;0;0;2;False
2022-04-24;75;1;0;0;2;False
2022-05-01;84;0;0;0;2;False
2022-05-08;88;0;0;0;2;False
2022-05-15;82;0;0;0;2;False
2022-05-22;80;0;0;0;2;False
2022-05-29;90;0;0;0;2;False
2022-06-05;85;0;0;0;2;False
2022-06-12;88;0;0;0;2;False
2022-06-19;89;0;0;0;2;False
2022-06-26;79;0;0;0;2;False
2022-07-03;86;0;0;0;2;False
2022-07-10;100;0;0;0;2;False
2022-07-17;92;0;0;0;2;False
2022-07-24;83;0;0;0;2;False
2022-07-31;81;0;0;0;2;False
2022-08-07;90;0;0;0;2;False
2022-08-14;78;0;0;0;2;False
2022-08-21;82;0;0;0;1;False
2022-08-28;76;0;0;0;2;False
2022-09-04;86;0;0;0;2;False
2022-09-11;87;0;0;0;1;False
2022-09-18;82;0;0;0;1;False
2022-09-25;77;0;0;0;1;False
2022-10-02;74;0;0;0;1;False
2022-10-09;75;0;0;0;1;False
2022-10-16;77;1;0;0;1;False
2022-10-23;77;0;0;0;1;False
2022-10-30;74;0;0;0;1;False
2022-11-06;75;0;0;0;1;False
2022-11-13;86;0;0;0;1;False
2022-11-20;75;0;0;0;1;False
2022-11-27;70;0;0;0;1;False
2022-12-04;74;0;0;0;1;False
2022-12-11;78;0;0;0;1;False
2022-12-18;89;0;0;0;1;False
2022-12-25;84;0;0;0;1;False
2023-01-01;78;0;0;0;2;False
2023-01-08;83;0;0;0;2;False
2023-01-15;85;0;0;0;2;False
2023-01-22;79;0;0;0;1;False
2023-01-29;77;0;0;0;1;False
