date;Languages;Euro;Poland;Water;air travel;isPartial
2023-01-01;3;24;5;86;1;False
2023-01-02;3;29;5;98;1;False
2023-01-03;3;32;5;99;1;False
2023-01-04;3;34;5;93;1;False
2023-01-05;3;30;5;85;1;False
2023-01-06;3;36;5;88;1;False
2023-01-07;2;31;4;88;0;False
2023-01-08;3;26;5;96;1;False
2023-01-09;4;30;4;91;0;False
2023-01-10;3;32;5;94;1;False
2023-01-11;3;32;6;90;1;False
2023-01-12;3;29;5;97;1;False
2023-01-13;3;35;5;84;1;False
2023-01-14;3;32;4;88;1;False
2023-01-15;3;25;5;93;1;False
2023-01-16;3;30;6;95;1;False
2023-01-17;3;34;4;96;1;False
2023-01-18;3;34;4;85;1;False
2023-01-19;3;30;6;88;1;False
2023-01-20;3;35;6;83;1;False
2023-01-21;3;31;5;89;1;False
2023-01-22;3;25;5;96;1;False
2023-01-23;3;34;6;100;1;False
2023-01-24;3;35;6;96;1;False
2023-01-25;3;35;5;91;1;False
2023-01-26;3;28;5;84;1;False
2023-01-27;3;34;5;81;0;False
2023-01-28;3;33;4;86;1;False
2023-01-29;3;25;5;91;1;False
2023-01-30;4;33;5;88;1;False
2023-01-31;3;39;5;89;1;False
