date;Aung San Suu Kyi;Bolton;New York;Thérèse Coffey;air travel;isPartial
2022-01-02;0;45;66;0;2;False
2022-01-09;0;47;58;0;3;False
2022-01-16;0;44;53;0;2;False
2022-01-23;0;53;54;0;2;False
2022-01-30;0;55;56;0;2;False
2022-02-06;0;49;50;0;2;False
2022-02-13;0;48;56;0;2;False
2022-02-20;0;58;67;0;3;False
2022-02-27;0;43;63;0;2;False
2022-03-06;0;48;63;0;2;False
2022-03-13;0;48;70;0;2;False
2022-03-20;0;47;65;0;2;False
2022-03-27;0;43;72;0;2;False
2022-04-03;0;47;67;0;2;False
2022-04-10;0;45;81;0;2;False
2022-04-17;0;46;65;0;2;False
2022-04-24;0;43;62;0;2;False
2022-05-01;0;52;74;0;2;False
2022-05-08;0;45;66;0;2;False
2022-05-15;0;45;70;0;2;False
2022-05-22;0;43;66;0;2;False
2022-05-29;0;47;68;0;2;False
2022-06-05;0;44;71;0;3;False
2022-06-12;0;44;64;0;2;False
2022-06-19;0;45;65;0;2;False
2022-06-26;0;51;62;0;2;False
2022-07-03;0;47;67;0;2;False
2022-07-10;0;49;66;0;2;False
2022-07-17;0;51;67;0;2;False
2022-07-24;0;51;67;0;2;False
2022-07-31;0;49;70;0;2;False
2022-08-07;0;48;72;0;2;False
2022-08-14;0;46;62;0;2;False
2022-08-21;0;60;66;0;2;False
2022-08-28;0;47;72;0;2;False
2022-09-04;0;46;72;1;2;False
2022-09-11;0;48;79;0;2;False
2022-09-18;0;44;67;0;2;False
2022-09-25;0;44;69;0;2;False
2022-10-02;0;47;73;0;2;False
2022-10-09;0;48;69;0;2;False
2022-10-16;0;47;68;0;1;False
2022-10-23;0;47;69;0;1;False
2022-10-30;0;44;73;0;1;False
2022-11-06;0;44;78;0;2;False
2022-11-13;0;40;69;0;1;False
2022-11-20;0;39;68;0;2;False
2022-11-27;0;38;75;0;2;False
2022-12-04;0;39;74;0;1;False
2022-12-11;0;43;69;0;1;False
2022-12-18;0;44;91;0;1;False
2022-12-25;1;51;100;0;2;False
2023-01-01;0;51;78;0;2;False
2023-01-08;0;47;76;0;2;False
2023-01-15;0;49;73;0;2;False
2023-01-22;0;50;71;0;2;False
2023-01-29;0;50;70;0;2;False
