date;Gerard Butler;apple;Charlie Higson;united states;air travel;isPartial
2022-01-02;0;83;0;2;1;False
2022-01-09;0;74;0;1;1;False
2022-01-16;0;67;0;1;1;False
2022-01-23;0;67;0;2;1;False
2022-01-30;0;69;0;2;1;False
2022-02-06;0;63;0;1;1;False
2022-02-13;1;60;0;2;1;False
2022-02-20;1;61;0;2;1;False
2022-02-27;0;62;0;2;1;False
2022-03-06;0;70;0;2;1;False
2022-03-13;0;64;0;2;1;False
2022-03-20;0;63;0;2;1;False
2022-03-27;0;58;0;2;1;False
2022-04-03;0;60;0;2;1;False
2022-04-10;0;60;0;2;1;False
2022-04-17;0;56;0;2;1;False
2022-04-24;0;61;0;1;1;False
2022-05-01;0;63;0;2;1;False
2022-05-08;0;62;0;2;1;False
2022-05-15;0;61;0;2;1;False
2022-05-22;0;59;0;2;1;False
2022-05-29;1;59;0;3;1;False
2022-06-05;1;70;0;2;1;False
2022-06-12;1;59;0;1;1;False
2022-06-19;1;61;0;2;1;False
2022-06-26;0;58;0;1;1;False
2022-07-03;0;61;0;2;1;False
2022-07-10;1;65;0;2;1;False
2022-07-17;0;58;0;2;1;False
2022-07-24;0;67;0;2;1;False
2022-07-31;0;60;0;1;1;False
2022-08-07;0;69;0;1;1;False
2022-08-14;1;78;0;1;1;False
2022-08-21;1;74;0;1;1;False
2022-08-28;0;76;0;1;1;False
2022-09-04;0;100;0;1;1;False
2022-09-11;0;96;0;2;1;False
2022-09-18;0;83;0;1;1;False
2022-09-25;0;89;0;2;1;False
2022-10-02;0;83;0;3;1;False
2022-10-09;0;80;0;1;1;False
2022-10-16;0;77;0;2;1;False
2022-10-23;0;80;0;2;1;False
2022-10-30;0;75;0;1;0;False
2022-11-06;0;78;0;2;1;False
2022-11-13;0;78;0;2;0;False
2022-11-20;0;87;0;2;1;False
2022-11-27;1;76;0;2;1;False
2022-12-04;0;66;0;1;0;False
2022-12-11;0;65;0;1;1;False
2022-12-18;0;74;0;2;0;False
2022-12-25;1;86;0;1;1;False
2023-01-01;1;75;0;1;1;False
2023-01-08;1;68;0;1;1;False
2023-01-15;1;64;0;1;1;False
2023-01-22;1;65;0;1;1;False
2023-01-29;1;64;0;2;1;False
