date;austria;River Café;Psychedelia;I'm a Celebrity ...;air travel;isPartial
2022-01-02;49;0;0;0;9;False
2022-01-09;48;0;0;0;10;False
2022-01-16;45;0;0;0;7;False
2022-01-23;42;0;0;0;8;False
2022-01-30;43;0;0;0;9;False
2022-02-06;40;0;0;0;9;False
2022-02-13;36;0;0;0;9;False
2022-02-20;38;0;0;0;10;False
2022-02-27;32;0;0;0;8;False
2022-03-06;33;0;0;0;9;False
2022-03-13;32;0;0;0;9;False
2022-03-20;97;0;0;0;8;False
2022-03-27;50;0;0;0;9;False
2022-04-03;29;0;0;0;8;False
2022-04-10;26;0;0;0;7;False
2022-04-17;26;0;0;0;8;False
2022-04-24;26;0;0;0;8;False
2022-05-01;26;0;0;0;8;False
2022-05-08;27;0;0;0;9;False
2022-05-15;26;0;0;0;9;False
2022-05-22;23;0;0;0;9;False
2022-05-29;30;1;0;0;9;False
2022-06-05;46;0;0;0;10;False
2022-06-12;29;0;0;0;9;False
2022-06-19;27;0;0;0;8;False
2022-06-26;28;0;0;0;8;False
2022-07-03;100;0;0;0;9;False
2022-07-10;60;0;0;0;9;False
2022-07-17;41;0;0;0;9;False
2022-07-24;28;0;0;0;9;False
2022-07-31;28;0;0;0;8;False
2022-08-07;27;0;0;0;8;False
2022-08-14;28;0;0;0;7;False
2022-08-21;25;0;0;0;7;False
2022-08-28;44;0;0;0;7;False
2022-09-04;26;0;0;0;8;False
2022-09-11;27;0;0;0;7;False
2022-09-18;30;0;0;0;7;False
2022-09-25;30;0;0;0;7;False
2022-10-02;33;0;0;0;6;False
2022-10-09;28;0;0;0;6;False
2022-10-16;25;0;0;0;6;False
2022-10-23;27;0;0;0;5;False
2022-10-30;24;0;0;0;5;False
2022-11-06;28;0;0;0;6;False
2022-11-13;27;0;0;0;5;False
2022-11-20;35;0;0;0;6;False
2022-11-27;27;0;0;0;6;False
2022-12-04;26;0;0;0;5;False
2022-12-11;28;0;0;0;5;False
2022-12-18;29;0;0;0;5;False
2022-12-25;36;0;0;0;6;False
2023-01-01;38;0;0;0;7;False
2023-01-08;34;0;0;0;7;False
2023-01-15;34;0;0;0;7;False
2023-01-22;32;0;0;0;6;False
2023-01-29;32;0;0;0;7;False
