date;Facebook;South Africa cricket team;interest rates;Iran;air travel;isPartial
2023-01-01;100;0;2;1;0;False
2023-01-02;89;0;2;1;0;False
2023-01-03;75;0;3;1;0;False
2023-01-04;83;0;3;1;0;False
2023-01-05;80;0;3;1;0;False
2023-01-06;82;0;3;1;0;False
2023-01-07;77;0;2;2;0;False
2023-01-08;83;0;2;2;0;False
2023-01-09;76;0;2;1;0;False
2023-01-10;80;0;2;1;0;False
2023-01-11;72;0;2;1;0;False
2023-01-12;79;0;2;1;0;False
2023-01-13;73;0;2;1;0;False
2023-01-14;78;0;2;2;0;False
2023-01-15;80;0;2;1;0;False
2023-01-16;86;0;2;1;0;False
2023-01-17;78;0;3;1;0;False
2023-01-18;78;0;3;1;0;False
2023-01-19;79;0;2;2;0;False
2023-01-20;82;0;2;1;0;False
2023-01-21;87;0;2;1;0;False
2023-01-22;80;0;2;1;0;False
2023-01-23;81;0;2;1;0;False
2023-01-24;77;0;3;1;0;False
2023-01-25;77;0;3;1;0;False
2023-01-26;76;0;2;1;0;False
2023-01-27;83;0;2;1;0;False
2023-01-28;76;0;2;1;0;False
2023-01-29;81;0;2;4;0;False
2023-01-30;74;0;3;2;0;False
2023-01-31;77;0;4;1;0;False
