date;University of St Andrews;Coca-Cola;Rewilding;Stephen Colbert;air travel;isPartial
2022-01-02;11;19;27;6;87;False
2022-01-09;16;14;20;8;100;False
2022-01-16;20;17;16;6;74;False
2022-01-23;18;17;19;6;82;False
2022-01-30;21;14;16;11;94;False
2022-02-06;16;18;11;7;93;False
2022-02-13;18;17;12;5;94;False
2022-02-20;15;18;14;10;95;False
2022-02-27;19;22;10;11;83;False
2022-03-06;19;25;14;11;88;False
2022-03-13;21;19;18;11;87;False
2022-03-20;18;19;13;6;85;False
2022-03-27;17;18;12;11;90;False
2022-04-03;13;15;10;8;84;False
2022-04-10;14;16;12;10;71;False
2022-04-17;16;16;9;9;78;False
2022-04-24;14;28;16;11;82;False
2022-05-01;11;23;16;8;84;False
2022-05-08;15;22;16;12;87;False
2022-05-15;11;16;13;9;90;False
2022-05-22;9;17;20;9;85;False
2022-05-29;8;13;14;12;87;False
2022-06-05;14;17;13;13;97;False
2022-06-12;16;17;14;17;87;False
2022-06-19;18;19;19;14;79;False
2022-06-26;12;17;15;10;85;False
2022-07-03;12;19;13;5;89;False
2022-07-10;13;20;15;8;92;False
2022-07-17;13;20;15;10;88;False
2022-07-24;9;21;11;8;87;False
2022-07-31;10;16;15;8;78;False
2022-08-07;15;20;14;9;76;False
2022-08-14;16;17;13;7;75;False
2022-08-21;21;19;12;6;65;False
2022-08-28;17;16;8;10;72;False
2022-09-04;21;17;12;15;77;False
2022-09-11;27;21;10;10;67;False
2022-09-18;30;19;11;9;66;False
2022-09-25;21;20;12;7;66;False
2022-10-02;21;22;12;6;63;False
2022-10-09;21;20;13;10;62;False
2022-10-16;17;20;14;9;55;False
2022-10-23;17;18;9;7;52;False
2022-10-30;12;21;10;7;51;False
2022-11-06;19;30;17;13;58;False
2022-11-13;17;27;17;9;48;False
2022-11-20;13;40;12;7;60;False
2022-11-27;16;30;12;8;59;False
2022-12-04;13;28;13;7;50;False
2022-12-11;13;24;13;7;52;False
2022-12-18;9;22;9;4;48;False
2022-12-25;7;13;12;2;64;False
2023-01-01;11;12;14;6;74;False
2023-01-08;14;14;18;55;69;False
2023-01-15;20;14;14;14;67;False
2023-01-22;16;15;17;9;62;False
2023-01-29;15;16;15;9;67;False
