date;Castres;Early years education;US work & careers;Household bills;air travel;isPartial
2022-01-02;4;6;0;7;90;False
2022-01-09;14;11;0;6;98;False
2022-01-16;33;9;0;8;77;False
2022-01-23;2;9;0;5;84;False
2022-01-30;1;11;0;5;95;False
2022-02-06;0;9;0;6;96;False
2022-02-13;1;10;0;6;96;False
2022-02-20;1;12;0;10;98;False
2022-02-27;1;10;0;8;86;False
2022-03-06;0;13;0;4;90;False
2022-03-13;0;9;0;4;90;False
2022-03-20;2;7;0;9;88;False
2022-03-27;2;8;0;8;93;False
2022-04-03;3;8;0;7;85;False
2022-04-10;4;7;0;5;74;False
2022-04-17;2;9;0;6;82;False
2022-04-24;3;11;0;7;84;False
2022-05-01;2;10;0;5;87;False
2022-05-08;0;15;0;5;89;False
2022-05-15;0;10;0;4;93;False
2022-05-22;2;4;0;14;88;False
2022-05-29;1;5;0;5;90;False
2022-06-05;2;8;0;5;100;False
2022-06-12;5;9;0;4;87;False
2022-06-19;10;9;0;8;81;False
2022-06-26;3;7;0;6;87;False
2022-07-03;2;7;0;11;92;False
2022-07-10;3;3;0;11;95;False
2022-07-17;2;9;0;4;91;False
2022-07-24;3;4;0;7;90;False
2022-07-31;2;4;0;6;81;False
2022-08-07;2;6;0;14;78;False
2022-08-14;1;6;0;8;77;False
2022-08-21;1;5;0;13;67;False
2022-08-28;0;6;0;10;74;False
2022-09-04;2;11;0;13;80;False
2022-09-11;1;6;0;11;69;False
2022-09-18;3;8;0;10;66;False
2022-09-25;1;9;0;10;68;False
2022-10-02;4;10;0;9;65;False
2022-10-09;1;9;0;6;63;False
2022-10-16;1;9;0;10;57;False
2022-10-23;2;8;0;8;53;False
2022-10-30;1;10;0;7;53;False
2022-11-06;1;11;0;8;59;False
2022-11-13;2;11;0;11;50;False
2022-11-20;1;8;0;7;62;False
2022-11-27;1;9;0;7;61;False
2022-12-04;13;7;0;7;52;False
2022-12-11;11;9;0;6;53;False
2022-12-18;3;8;0;5;50;False
2022-12-25;2;3;0;5;66;False
2023-01-01;2;10;0;8;77;False
2023-01-08;4;9;0;7;71;False
2023-01-15;21;12;0;6;69;False
2023-01-22;3;10;0;10;64;False
2023-01-29;2;11;0;7;69;False
