date;Online shopping;Bournemouth;Public transport trips;Tony Abbott;air travel;isPartial
2022-01-02;15;47;0;0;2;False
2022-01-09;13;47;0;0;3;False
2022-01-16;12;42;0;0;2;False
2022-01-23;12;47;0;0;2;False
2022-01-30;13;47;0;0;3;False
2022-02-06;12;59;0;0;3;False
2022-02-13;12;58;0;0;3;False
2022-02-20;13;50;0;0;3;False
2022-02-27;12;46;0;0;2;False
2022-03-06;13;53;0;0;2;False
2022-03-13;13;51;0;0;2;False
2022-03-20;14;52;0;0;2;False
2022-03-27;14;46;0;0;2;False
2022-04-03;15;53;0;0;2;False
2022-04-10;15;54;0;0;2;False
2022-04-17;12;53;0;0;2;False
2022-04-24;12;55;0;0;2;False
2022-05-01;13;71;0;0;2;False
2022-05-08;12;53;0;0;2;False
2022-05-15;12;52;0;0;2;False
2022-05-22;11;53;0;0;2;False
2022-05-29;12;60;0;0;2;False
2022-06-05;11;50;0;0;3;False
2022-06-12;13;67;0;0;2;False
2022-06-19;13;53;0;0;2;False
2022-06-26;12;55;0;0;2;False
2022-07-03;12;58;0;0;2;False
2022-07-10;13;68;0;0;3;False
2022-07-17;13;69;0;0;2;False
2022-07-24;12;63;0;0;2;False
2022-07-31;13;74;0;0;2;False
2022-08-07;13;86;0;0;2;False
2022-08-14;12;81;0;0;2;False
2022-08-21;12;100;0;0;2;False
2022-08-28;12;91;0;0;2;False
2022-09-04;12;54;0;0;2;False
2022-09-11;13;56;0;0;2;False
2022-09-18;12;49;0;0;2;False
2022-09-25;14;49;0;0;2;False
2022-10-02;12;51;0;0;2;False
2022-10-09;14;50;0;0;2;False
2022-10-16;13;49;0;0;2;False
2022-10-23;13;67;0;0;1;False
2022-10-30;13;53;0;0;1;False
2022-11-06;15;56;0;0;2;False
2022-11-13;17;42;0;0;1;False
2022-11-20;14;37;0;0;2;False
2022-11-27;15;37;0;0;2;False
2022-12-04;18;36;0;0;1;False
2022-12-11;18;43;0;0;1;False
2022-12-18;15;48;0;0;1;False
2022-12-25;12;61;0;0;2;False
2023-01-01;12;76;0;0;2;False
2023-01-08;11;52;0;0;2;False
2023-01-15;12;52;0;0;2;False
2023-01-22;11;46;0;0;2;False
2023-01-29;12;48;0;0;2;False
