date;Beer;Chichester Festival theatre;Tax;Fukushima;air travel;isPartial
2022-01-02;9;0;68;0;1;False
2022-01-09;11;0;70;0;1;False
2022-01-16;10;0;75;0;1;False
2022-01-23;11;0;78;0;1;False
2022-01-30;11;0;100;0;1;False
2022-02-06;10;0;65;0;1;False
2022-02-13;10;0;60;0;1;False
2022-02-20;11;0;70;0;1;False
2022-02-27;11;0;75;0;1;False
2022-03-06;11;0;77;0;1;False
2022-03-13;11;0;69;0;1;False
2022-03-20;13;0;81;0;1;False
2022-03-27;11;0;88;0;1;False
2022-04-03;11;0;92;0;1;False
2022-04-10;14;0;71;0;1;False
2022-04-17;13;0;68;0;1;False
2022-04-24;15;0;83;0;1;False
2022-05-01;14;0;78;0;1;False
2022-05-08;14;0;70;0;1;False
2022-05-15;13;0;70;0;1;False
2022-05-22;14;0;77;0;1;False
2022-05-29;16;0;65;0;1;False
2022-06-05;15;0;69;0;1;False
2022-06-12;21;0;66;0;1;False
2022-06-19;15;0;67;0;1;False
2022-06-26;12;0;71;0;1;False
2022-07-03;14;0;70;0;1;False
2022-07-10;16;0;72;0;1;False
2022-07-17;14;0;62;0;1;False
2022-07-24;14;0;72;0;1;False
2022-07-31;14;0;71;0;1;False
2022-08-07;14;0;64;0;1;False
2022-08-14;12;0;54;0;1;False
2022-08-21;13;0;62;0;0;False
2022-08-28;13;0;68;0;1;False
2022-09-04;11;0;69;0;1;False
2022-09-11;12;0;61;0;0;False
2022-09-18;12;0;69;0;0;False
2022-09-25;11;0;72;0;0;False
2022-10-02;12;0;74;0;0;False
2022-10-09;12;0;59;0;0;False
2022-10-16;12;0;56;0;0;False
2022-10-23;12;0;62;0;0;False
2022-10-30;10;0;65;0;0;False
2022-11-06;11;0;63;0;0;False
2022-11-13;13;0;72;0;0;False
2022-11-20;12;0;53;0;0;False
2022-11-27;12;0;59;0;0;False
2022-12-04;12;0;51;0;0;False
2022-12-11;12;0;50;0;0;False
2022-12-18;14;0;51;0;0;False
2022-12-25;11;0;46;0;0;False
2023-01-01;10;0;69;0;1;False
2023-01-08;10;0;69;0;0;False
2023-01-15;10;0;74;0;0;False
2023-01-22;10;0;80;0;0;False
2023-01-29;10;0;93;0;0;False
