date;Angola;Mark Ruffalo;Cities;Boating holidays;air travel;isPartial
2022-01-02;3;3;41;0;7;False
2022-01-09;3;2;42;1;8;False
2022-01-16;3;2;56;0;6;False
2022-01-23;4;1;100;0;7;False
2022-01-30;4;1;55;0;8;False
2022-02-06;4;2;44;0;8;False
2022-02-13;4;1;52;0;8;False
2022-02-20;3;2;57;1;8;False
2022-02-27;3;1;54;0;7;False
2022-03-06;4;4;50;0;7;False
2022-03-13;4;6;51;0;7;False
2022-03-20;5;4;53;1;7;False
2022-03-27;4;3;46;0;8;False
2022-04-03;4;2;37;0;7;False
2022-04-10;4;2;43;1;6;False
2022-04-17;4;2;49;0;7;False
2022-04-24;3;1;44;1;7;False
2022-05-01;4;2;48;1;7;False
2022-05-08;4;1;43;1;7;False
2022-05-15;4;2;57;1;7;False
2022-05-22;4;1;50;1;7;False
2022-05-29;4;1;48;1;7;False
2022-06-05;4;2;43;1;8;False
2022-06-12;5;2;43;1;7;False
2022-06-19;4;1;46;1;7;False
2022-06-26;4;2;39;0;7;False
2022-07-03;4;1;40;1;7;False
2022-07-10;4;2;47;1;8;False
2022-07-17;4;1;43;1;7;False
2022-07-24;4;1;46;1;7;False
2022-07-31;4;2;44;1;7;False
2022-08-07;4;2;45;1;6;False
2022-08-14;4;2;42;1;6;False
2022-08-21;7;2;41;1;5;False
2022-08-28;4;2;43;1;6;False
2022-09-04;4;1;42;0;6;False
2022-09-11;4;2;46;0;6;False
2022-09-18;4;1;47;0;5;False
2022-09-25;4;1;53;0;6;False
2022-10-02;4;2;47;0;5;False
2022-10-09;4;1;40;0;5;False
2022-10-16;4;2;39;0;5;False
2022-10-23;4;1;39;0;4;False
2022-10-30;3;1;39;0;4;False
2022-11-06;4;1;42;0;5;False
2022-11-13;9;1;42;0;4;False
2022-11-20;4;1;39;0;5;False
2022-11-27;5;1;43;0;5;False
2022-12-04;4;1;40;0;4;False
2022-12-11;4;1;38;0;4;False
2022-12-18;4;1;42;0;4;False
2022-12-25;5;2;46;0;5;False
2023-01-01;3;2;61;0;6;False
2023-01-08;3;1;49;0;6;False
2023-01-15;4;1;45;0;6;False
2023-01-22;3;1;47;0;5;False
2023-01-29;4;1;47;1;6;False
