date;Marriage;volodymyr zelenskyy;Gig economy;derbyshire;air travel;isPartial
2022-01-02;32;0;0;25;4;False
2022-01-09;29;0;0;25;5;False
2022-01-16;27;0;0;26;4;False
2022-01-23;32;0;0;26;4;False
2022-01-30;33;0;0;27;4;False
2022-02-06;31;0;0;24;4;False
2022-02-13;31;0;0;29;4;False
2022-02-20;33;3;0;31;5;False
2022-02-27;30;6;0;25;4;False
2022-03-06;33;9;0;24;4;False
2022-03-13;32;1;1;27;4;False
2022-03-20;32;0;0;25;4;False
2022-03-27;35;0;0;27;4;False
2022-04-03;35;0;0;29;4;False
2022-04-10;34;0;0;26;3;False
2022-04-17;32;0;0;27;4;False
2022-04-24;32;0;0;27;4;False
2022-05-01;36;0;0;35;4;False
2022-05-08;37;0;0;28;4;False
2022-05-15;32;0;0;29;4;False
2022-05-22;32;0;0;27;4;False
2022-05-29;32;0;0;26;4;False
2022-06-05;36;0;0;34;5;False
2022-06-12;31;0;0;26;4;False
2022-06-19;31;0;0;29;4;False
2022-06-26;33;0;0;30;4;False
2022-07-03;31;0;0;28;4;False
2022-07-10;29;0;0;31;4;False
2022-07-17;30;0;0;29;4;False
2022-07-24;33;0;0;27;4;False
2022-07-31;34;0;0;31;4;False
2022-08-07;41;0;0;28;4;False
2022-08-14;100;0;0;28;4;False
2022-08-21;59;0;0;30;3;False
2022-08-28;41;0;0;27;3;False
2022-09-04;40;0;0;24;4;False
2022-09-11;33;0;0;25;3;False
2022-09-18;34;0;0;22;3;False
2022-09-25;28;0;0;25;3;False
2022-10-02;30;0;0;24;3;False
2022-10-09;29;0;0;23;3;False
2022-10-16;28;0;0;21;3;False
2022-10-23;27;0;0;22;2;False
2022-10-30;25;0;0;21;2;False
2022-11-06;29;0;0;21;3;False
2022-11-13;29;0;0;20;2;False
2022-11-20;23;0;0;18;3;False
2022-11-27;25;0;0;19;3;False
2022-12-04;25;0;0;19;2;False
2022-12-11;23;0;0;20;2;False
2022-12-18;23;1;0;19;2;False
2022-12-25;26;0;0;20;3;False
2023-01-01;32;0;0;30;4;False
2023-01-08;35;0;0;27;3;False
2023-01-15;37;0;0;25;3;False
2023-01-22;37;0;0;23;3;False
2023-01-29;33;0;0;25;3;False
