date;Brian Cox;margot robbie;Martin McDonagh;Tonga;air travel;isPartial
2022-01-02;5;7;0;1;5;False
2022-01-09;6;6;0;39;5;False
2022-01-16;6;5;0;100;4;False
2022-01-23;4;6;0;13;4;False
2022-01-30;4;6;0;4;5;False
2022-02-06;5;8;0;3;5;False
2022-02-13;3;4;0;2;5;False
2022-02-20;4;5;0;2;5;False
2022-02-27;3;6;0;2;4;False
2022-03-06;3;4;0;2;5;False
2022-03-13;3;4;0;2;5;False
2022-03-20;2;4;0;2;5;False
2022-03-27;2;7;0;1;5;False
2022-04-03;3;5;0;1;4;False
2022-04-10;3;9;0;1;4;False
2022-04-17;6;6;0;1;4;False
2022-04-24;3;9;0;1;4;False
2022-05-01;4;7;0;1;5;False
2022-05-08;3;4;0;1;5;False
2022-05-15;2;7;0;2;5;False
2022-05-22;4;6;0;3;5;False
2022-05-29;3;4;0;2;5;False
2022-06-05;3;6;0;1;5;False
2022-06-12;6;8;0;1;5;False
2022-06-19;4;7;0;2;4;False
2022-06-26;3;13;0;2;5;False
2022-07-03;5;7;0;1;5;False
2022-07-10;5;8;0;2;5;False
2022-07-17;4;6;0;2;5;False
2022-07-24;4;22;0;2;5;False
2022-07-31;5;8;0;2;4;False
2022-08-07;5;8;0;1;4;False
2022-08-14;4;6;0;1;4;False
2022-08-21;6;5;0;1;3;False
2022-08-28;8;5;0;1;4;False
2022-09-04;7;5;1;1;4;False
2022-09-11;7;9;0;1;4;False
2022-09-18;6;9;0;2;3;False
2022-09-25;5;7;0;1;4;False
2022-10-02;7;7;1;2;3;False
2022-10-09;3;11;1;2;3;False
2022-10-16;2;6;1;4;3;False
2022-10-23;2;5;2;4;3;False
2022-10-30;3;4;1;4;3;False
2022-11-06;6;4;1;6;3;False
2022-11-13;18;7;1;2;3;False
2022-11-20;7;6;0;2;3;False
2022-11-27;4;6;0;1;3;False
2022-12-04;2;7;0;1;3;False
2022-12-11;3;8;1;1;3;False
2022-12-18;2;9;0;1;3;False
2022-12-25;3;9;1;1;3;False
2023-01-01;3;8;1;1;4;False
2023-01-08;3;20;2;2;4;False
2023-01-15;4;16;1;3;4;False
2023-01-22;3;14;1;2;3;False
2023-01-29;3;9;1;2;4;False
