date;Jeff Beck;Cineworld;Qatar;England cricket team;air travel;isPartial
2022-01-02;0;12;3;0;1;False
2022-01-09;0;9;3;0;1;False
2022-01-16;0;8;3;0;1;False
2022-01-23;0;8;3;0;1;False
2022-01-30;0;9;3;0;1;False
2022-02-06;0;10;3;0;1;False
2022-02-13;0;13;4;0;1;False
2022-02-20;0;24;4;0;1;False
2022-02-27;0;12;3;0;1;False
2022-03-06;0;11;4;0;1;False
2022-03-13;0;9;3;0;1;False
2022-03-20;0;8;6;0;1;False
2022-03-27;0;9;10;0;1;False
2022-04-03;0;11;5;0;1;False
2022-04-10;0;12;4;0;1;False
2022-04-17;0;9;3;0;1;False
2022-04-24;0;8;3;0;1;False
2022-05-01;0;14;3;0;1;False
2022-05-08;0;10;3;0;1;False
2022-05-15;0;9;3;0;1;False
2022-05-22;0;11;4;0;1;False
2022-05-29;6;16;4;0;1;False
2022-06-05;1;15;7;0;1;False
2022-06-12;0;13;5;0;1;False
2022-06-19;0;11;4;0;1;False
2022-06-26;0;13;4;0;1;False
2022-07-03;0;13;4;0;1;False
2022-07-10;0;10;4;0;1;False
2022-07-17;0;11;4;0;1;False
2022-07-24;0;12;4;0;1;False
2022-07-31;0;11;4;0;1;False
2022-08-07;0;9;4;0;1;False
2022-08-14;0;15;3;0;1;False
2022-08-21;0;13;4;0;0;False
2022-08-28;0;20;4;0;1;False
2022-09-04;0;10;4;0;1;False
2022-09-11;0;10;4;0;1;False
2022-09-18;0;9;5;0;0;False
2022-09-25;0;10;5;0;0;False
2022-10-02;0;11;6;0;0;False
2022-10-09;0;9;5;0;0;False
2022-10-16;0;11;6;0;0;False
2022-10-23;0;12;7;0;0;False
2022-10-30;0;10;8;0;0;False
2022-11-06;0;11;13;0;0;False
2022-11-13;0;10;33;0;0;False
2022-11-20;0;9;100;0;0;False
2022-11-27;0;8;69;0;0;False
2022-12-04;0;7;83;0;0;False
2022-12-11;0;9;19;0;0;False
2022-12-18;0;12;15;0;0;False
2022-12-25;0;14;4;0;0;False
2023-01-01;0;13;4;0;1;False
2023-01-08;14;12;4;0;1;False
2023-01-15;1;10;5;0;0;False
2023-01-22;1;11;4;0;0;False
2023-01-29;1;11;4;0;0;False
