date;Beach holidays;Los Angeles Lakers;Nicholas Hoult;De La Soul;air travel;isPartial
2022-01-02;60;2;3;2;20;False
2022-01-09;64;1;3;2;22;False
2022-01-16;61;1;3;2;17;False
2022-01-23;67;2;2;3;19;False
2022-01-30;68;1;3;2;21;False
2022-02-06;61;1;2;2;21;False
2022-02-13;57;1;3;3;21;False
2022-02-20;60;1;2;2;22;False
2022-02-27;51;1;2;3;19;False
2022-03-06;55;1;3;3;20;False
2022-03-13;62;1;2;5;20;False
2022-03-20;65;1;2;6;19;False
2022-03-27;63;1;4;4;21;False
2022-04-03;65;2;3;2;19;False
2022-04-10;65;1;2;2;16;False
2022-04-17;69;1;2;2;18;False
2022-04-24;65;1;2;2;19;False
2022-05-01;75;1;3;2;19;False
2022-05-08;74;1;2;2;20;False
2022-05-15;77;1;2;2;20;False
2022-05-22;80;1;2;2;19;False
2022-05-29;70;0;2;1;20;False
2022-06-05;76;1;2;2;22;False
2022-06-12;77;1;3;2;19;False
2022-06-19;79;1;1;2;18;False
2022-06-26;77;1;3;2;19;False
2022-07-03;73;1;1;2;20;False
2022-07-10;80;2;2;2;21;False
2022-07-17;74;1;2;2;20;False
2022-07-24;79;1;3;2;20;False
2022-07-31;81;1;4;2;18;False
2022-08-07;83;0;4;3;17;False
2022-08-14;68;0;3;2;17;False
2022-08-21;66;1;3;2;15;False
2022-08-28;62;1;4;1;16;False
2022-09-04;53;0;3;1;18;False
2022-09-11;53;0;2;1;15;False
2022-09-18;48;1;2;1;15;False
2022-09-25;46;1;2;1;15;False
2022-10-02;47;1;3;1;14;False
2022-10-09;44;1;2;2;14;False
2022-10-16;37;2;2;1;13;False
2022-10-23;37;3;6;1;12;False
2022-10-30;34;2;1;2;12;False
2022-11-06;35;2;4;2;13;False
2022-11-13;30;1;3;1;11;False
2022-11-20;27;2;3;1;14;False
2022-11-27;27;2;2;2;13;False
2022-12-04;23;1;3;2;11;False
2022-12-11;24;2;7;1;12;False
2022-12-18;30;2;4;2;11;False
2022-12-25;70;1;3;2;14;False
2023-01-01;100;1;5;7;17;False
2023-01-08;95;2;6;4;16;False
2023-01-15;85;2;5;3;15;False
2023-01-22;82;1;4;2;14;False
2023-01-29;74;1;3;2;15;False
