date;Ilhan Omar;Las Vegas;Finances;International criminal justice;air travel;isPartial
2022-01-02;0;75;5;0;14;False
2022-01-09;0;73;7;0;16;False
2022-01-16;0;80;6;0;12;False
2022-01-23;0;72;6;0;13;False
2022-01-30;1;62;6;0;15;False
2022-02-06;0;62;6;0;15;False
2022-02-13;0;61;5;0;15;False
2022-02-20;0;61;6;0;16;False
2022-02-27;1;57;6;0;14;False
2022-03-06;0;62;6;0;14;False
2022-03-13;1;61;6;0;14;False
2022-03-20;0;66;5;0;14;False
2022-03-27;1;100;6;0;15;False
2022-04-03;0;86;6;0;14;False
2022-04-10;0;76;6;0;12;False
2022-04-17;3;69;5;0;13;False
2022-04-24;0;63;6;0;13;False
2022-05-01;0;90;5;0;14;False
2022-05-08;1;71;5;0;14;False
2022-05-15;0;69;6;0;15;False
2022-05-22;0;64;6;0;14;False
2022-05-29;0;66;5;0;14;False
2022-06-05;1;66;5;0;16;False
2022-06-12;0;66;6;0;14;False
2022-06-19;0;64;5;0;13;False
2022-06-26;1;64;5;0;14;False
2022-07-03;3;62;6;0;15;False
2022-07-10;1;66;5;0;15;False
2022-07-17;1;68;4;0;14;False
2022-07-24;0;77;7;0;14;False
2022-07-31;0;65;5;0;13;False
2022-08-07;1;84;5;0;13;False
2022-08-14;0;72;5;0;12;False
2022-08-21;0;67;6;0;11;False
2022-08-28;0;68;5;0;12;False
2022-09-04;0;65;5;0;13;False
2022-09-11;0;68;6;0;11;False
2022-09-18;0;71;5;0;11;False
2022-09-25;0;66;6;0;11;False
2022-10-02;1;64;6;0;10;False
2022-10-09;0;62;7;0;10;False
2022-10-16;0;62;6;0;9;False
2022-10-23;0;63;6;0;9;False
2022-10-30;0;58;5;0;8;False
2022-11-06;1;63;6;0;9;False
2022-11-13;0;56;7;0;8;False
2022-11-20;1;55;5;0;10;False
2022-11-27;0;49;5;0;10;False
2022-12-04;0;43;5;0;8;False
2022-12-11;0;46;5;0;8;False
2022-12-18;0;56;4;0;8;False
2022-12-25;0;66;3;0;10;False
2023-01-01;0;80;6;0;12;False
2023-01-08;0;74;6;0;11;False
2023-01-15;0;68;6;0;11;False
2023-01-22;0;64;6;0;10;False
2023-01-29;6;65;7;0;11;False
