date;Italy;New Orleans Saints;kentucky;kylie jenner;air travel;isPartial
2022-01-02;33;0;2;4;2;False
2022-01-09;32;0;1;4;2;False
2022-01-16;31;0;1;3;1;False
2022-01-23;34;0;2;3;2;False
2022-01-30;37;0;1;3;2;False
2022-02-06;49;0;1;10;2;False
2022-02-13;51;0;1;4;2;False
2022-02-20;39;0;1;3;2;False
2022-02-27;41;0;1;3;2;False
2022-03-06;44;0;2;3;2;False
2022-03-13;57;0;2;3;2;False
2022-03-20;71;0;2;6;2;False
2022-03-27;46;0;1;3;2;False
2022-04-03;40;0;2;3;2;False
2022-04-10;39;0;2;4;1;False
2022-04-17;39;0;2;5;1;False
2022-04-24;40;0;2;3;2;False
2022-05-01;42;0;4;7;2;False
2022-05-08;46;0;3;4;2;False
2022-05-15;42;0;2;4;2;False
2022-05-22;44;0;2;4;2;False
2022-05-29;70;0;2;3;2;False
2022-06-05;100;0;1;4;2;False
2022-06-12;51;0;2;3;2;False
2022-06-19;38;0;2;3;1;False
2022-06-26;37;0;2;2;2;False
2022-07-03;35;0;2;2;2;False
2022-07-10;42;0;2;2;2;False
2022-07-17;41;0;2;3;2;False
2022-07-24;38;0;3;3;2;False
2022-07-31;38;0;3;3;1;False
2022-08-07;36;0;2;4;1;False
2022-08-14;33;0;1;3;1;False
2022-08-21;31;0;1;2;1;False
2022-08-28;31;0;2;2;1;False
2022-09-04;33;0;1;2;1;False
2022-09-11;34;0;2;2;1;False
2022-09-18;68;0;1;3;1;False
2022-09-25;43;0;2;3;1;False
2022-10-02;27;0;1;3;1;False
2022-10-09;27;0;2;2;1;False
2022-10-16;26;0;2;3;1;False
2022-10-23;26;0;1;4;1;False
2022-10-30;26;0;2;2;1;False
2022-11-06;28;0;2;2;1;False
2022-11-13;27;0;2;2;1;False
2022-11-20;30;0;1;3;1;False
2022-11-27;26;0;2;3;1;False
2022-12-04;23;0;1;2;1;False
2022-12-11;20;0;2;2;1;False
2022-12-18;22;0;2;2;1;False
2022-12-25;27;0;2;2;1;False
2023-01-01;32;0;2;2;1;False
2023-01-08;33;0;1;2;1;False
2023-01-15;32;0;1;3;1;False
2023-01-22;32;0;2;5;1;False
2023-01-29;33;0;1;3;1;False
