date;Mercury;British empire;Woodside;new mexico;air travel;isPartial
2022-01-02;44;5;10;5;7;False
2022-01-09;44;5;10;4;8;False
2022-01-16;48;4;10;4;6;False
2022-01-23;48;5;10;4;7;False
2022-01-30;49;4;11;4;8;False
2022-02-06;44;4;10;5;8;False
2022-02-13;73;4;10;4;8;False
2022-02-20;66;5;10;4;8;False
2022-02-27;40;5;10;3;7;False
2022-03-06;41;5;9;3;7;False
2022-03-13;40;5;10;4;7;False
2022-03-20;46;5;11;4;7;False
2022-03-27;44;5;10;4;8;False
2022-04-03;39;4;10;4;7;False
2022-04-10;38;3;10;4;6;False
2022-04-17;45;4;11;4;7;False
2022-04-24;45;5;10;4;7;False
2022-05-01;43;5;10;4;7;False
2022-05-08;59;4;10;5;7;False
2022-05-15;59;5;11;4;8;False
2022-05-22;43;5;10;4;7;False
2022-05-29;59;6;10;4;7;False
2022-06-05;64;6;12;4;8;False
2022-06-12;87;5;11;4;7;False
2022-06-19;100;4;11;4;7;False
2022-06-26;72;4;12;4;7;False
2022-07-03;57;4;11;4;8;False
2022-07-10;61;4;12;5;8;False
2022-07-17;53;3;11;5;7;False
2022-07-24;66;3;12;4;7;False
2022-07-31;54;3;11;5;7;False
2022-08-07;47;3;11;5;6;False
2022-08-14;47;3;10;4;6;False
2022-08-21;55;2;11;4;6;False
2022-08-28;61;3;11;5;6;False
2022-09-04;81;9;10;4;7;False
2022-09-11;64;10;11;4;6;False
2022-09-18;64;8;10;4;5;False
2022-09-25;59;4;10;4;6;False
2022-10-02;56;5;10;4;5;False
2022-10-09;55;4;10;3;5;False
2022-10-16;66;4;10;3;5;False
2022-10-23;51;4;10;4;4;False
2022-10-30;45;5;10;4;4;False
2022-11-06;44;5;9;4;5;False
2022-11-13;42;5;9;4;4;False
2022-11-20;42;4;9;4;5;False
2022-11-27;40;5;9;4;5;False
2022-12-04;37;4;9;3;4;False
2022-12-11;44;4;9;3;4;False
2022-12-18;41;3;9;4;4;False
2022-12-25;66;4;8;5;5;False
2023-01-01;69;4;9;5;6;False
2023-01-08;56;4;9;4;6;False
2023-01-15;48;4;9;5;6;False
2023-01-22;44;4;10;4;5;False
2023-01-29;45;4;12;4;6;False
