date;Food security;Dominic Perrottet;Parkinson's disease;nancy pelosi;air travel;isPartial
2022-01-02;2;0;3;4;22;False
2022-01-09;3;0;4;5;25;False
2022-01-16;4;0;3;3;19;False
2022-01-23;4;0;4;3;21;False
2022-01-30;4;0;3;1;24;False
2022-02-06;3;0;4;3;24;False
2022-02-13;3;0;3;1;24;False
2022-02-20;3;0;3;3;25;False
2022-02-27;5;0;3;11;21;False
2022-03-06;4;0;4;4;23;False
2022-03-13;5;0;4;8;22;False
2022-03-20;5;0;3;4;22;False
2022-03-27;5;0;3;2;23;False
2022-04-03;5;0;4;3;21;False
2022-04-10;5;0;4;1;18;False
2022-04-17;5;0;3;2;21;False
2022-04-24;5;0;4;2;21;False
2022-05-01;5;0;3;17;22;False
2022-05-08;7;0;3;2;22;False
2022-05-15;6;0;3;5;23;False
2022-05-22;8;0;3;5;22;False
2022-05-29;6;1;3;8;22;False
2022-06-05;7;0;2;6;25;False
2022-06-12;8;0;2;4;22;False
2022-06-19;6;1;3;5;20;False
2022-06-26;6;0;2;5;22;False
2022-07-03;6;0;2;4;23;False
2022-07-10;7;0;4;4;24;False
2022-07-17;6;0;2;6;23;False
2022-07-24;6;0;2;15;23;False
2022-07-31;7;0;2;100;20;False
2022-08-07;6;0;3;10;20;False
2022-08-14;6;0;3;3;19;False
2022-08-21;7;0;2;3;17;False
2022-08-28;5;0;2;3;18;False
2022-09-04;4;0;3;2;20;False
2022-09-11;5;0;3;4;17;False
2022-09-18;5;0;2;4;17;False
2022-09-25;7;0;3;3;17;False
2022-10-02;5;0;6;3;16;False
2022-10-09;6;0;4;12;16;False
2022-10-16;5;0;3;3;14;False
2022-10-23;4;0;3;42;13;False
2022-10-30;4;0;4;20;13;False
2022-11-06;6;0;3;13;15;False
2022-11-13;4;0;3;30;12;False
2022-11-20;3;0;3;4;16;False
2022-11-27;4;0;3;3;15;False
2022-12-04;5;0;3;3;13;False
2022-12-11;4;0;3;4;13;False
2022-12-18;3;0;2;4;12;False
2022-12-25;3;0;3;3;16;False
2023-01-01;4;0;2;11;19;False
2023-01-08;4;0;3;4;18;False
2023-01-15;4;0;3;2;17;False
2023-01-22;4;0;3;5;16;False
2023-01-29;4;0;4;3;17;False
