date;Rap;Ludwig van Beethoven;Centrica;Sheryl Crow;air travel;isPartial
2022-01-02;89;2;37;3;29;False
2022-01-09;100;1;37;3;32;False
2022-01-16;84;0;34;3;25;False
2022-01-23;91;0;32;2;28;False
2022-01-30;97;1;47;3;31;False
2022-02-06;90;1;41;5;31;False
2022-02-13;97;1;32;4;31;False
2022-02-20;98;0;35;3;32;False
2022-02-27;90;1;34;3;28;False
2022-03-06;90;1;31;5;30;False
2022-03-13;87;1;29;3;29;False
2022-03-20;88;1;36;4;29;False
2022-03-27;87;2;31;2;30;False
2022-04-03;85;1;27;7;28;False
2022-04-10;88;0;24;6;24;False
2022-04-17;87;0;25;4;27;False
2022-04-24;86;1;26;4;28;False
2022-05-01;97;1;25;6;28;False
2022-05-08;99;0;31;5;29;False
2022-05-15;99;1;35;4;30;False
2022-05-22;95;0;42;4;29;False
2022-05-29;95;0;28;3;29;False
2022-06-05;97;1;34;4;33;False
2022-06-12;96;1;30;4;29;False
2022-06-19;88;0;32;4;27;False
2022-06-26;91;1;31;4;29;False
2022-07-03;98;1;31;6;30;False
2022-07-10;94;0;34;5;31;False
2022-07-17;89;0;32;4;30;False
2022-07-24;94;1;77;5;29;False
2022-07-31;87;0;41;6;26;False
2022-08-07;95;1;42;9;26;False
2022-08-14;93;0;33;6;25;False
2022-08-21;87;1;39;4;22;False
2022-08-28;89;0;31;6;24;False
2022-09-04;88;1;40;4;26;False
2022-09-11;95;1;36;3;23;False
2022-09-18;80;1;25;3;22;False
2022-09-25;88;0;31;3;22;False
2022-10-02;80;1;29;2;21;False
2022-10-09;82;0;28;6;20;False
2022-10-16;80;1;28;2;19;False
2022-10-23;80;0;28;4;17;False
2022-10-30;85;1;31;4;17;False
2022-11-06;84;1;35;3;19;False
2022-11-13;89;1;40;4;16;False
2022-11-20;81;1;34;2;20;False
2022-11-27;81;0;36;2;20;False
2022-12-04;76;0;28;2;17;False
2022-12-11;80;1;28;2;17;False
2022-12-18;86;0;28;3;16;False
2022-12-25;84;1;19;3;21;False
2023-01-01;83;1;28;3;25;False
2023-01-08;80;1;38;3;23;False
2023-01-15;85;1;36;3;23;False
2023-01-22;81;0;35;4;21;False
2023-01-29;87;1;49;6;22;False
