date;Western Australia;Dr Dre;Asia Pacific;Neil Young;air travel;isPartial
2023-01-01;35;44;9;29;66;False
2023-01-02;46;41;8;27;78;False
2023-01-03;45;44;0;30;51;False
2023-01-04;44;27;11;40;77;False
2023-01-05;36;24;14;32;63;False
2023-01-06;37;45;15;33;63;False
2023-01-07;26;34;0;32;46;False
2023-01-08;75;45;11;40;73;False
2023-01-09;51;23;13;29;43;False
2023-01-10;39;52;25;20;68;False
2023-01-11;31;51;8;18;78;False
2023-01-12;27;43;25;27;64;False
2023-01-13;44;55;15;20;52;False
2023-01-14;28;55;18;44;48;False
2023-01-15;30;42;0;23;57;False
2023-01-16;40;48;15;26;59;False
2023-01-17;34;34;14;20;48;False
2023-01-18;14;44;10;34;69;False
2023-01-19;30;39;9;37;63;False
2023-01-20;12;35;10;100;51;False
2023-01-21;37;46;0;52;55;False
2023-01-22;19;41;11;41;61;False
2023-01-23;26;32;0;24;62;False
2023-01-24;33;25;8;32;48;False
2023-01-25;32;28;19;19;65;False
2023-01-26;25;41;17;29;59;False
2023-01-27;13;42;16;42;41;False
2023-01-28;20;67;0;49;57;False
2023-01-29;50;46;0;26;52;False
2023-01-30;36;10;16;25;87;False
2023-01-31;49;30;33;23;73;False
