date;Jonah Hill;Sport betting;Donald Trump;Robin Gibb;air travel;isPartial
2022-01-02;22;2;48;2;23;False
2022-01-09;16;1;40;1;26;False
2022-01-16;12;3;39;1;19;False
2022-01-23;8;2;41;0;21;False
2022-01-30;9;1;36;2;25;False
2022-02-06;8;2;32;1;24;False
2022-02-13;11;2;40;1;25;False
2022-02-20;8;3;83;1;25;False
2022-02-27;8;3;62;3;22;False
2022-03-06;8;2;49;1;23;False
2022-03-13;7;3;36;1;23;False
2022-03-20;6;2;43;2;22;False
2022-03-27;8;2;35;1;24;False
2022-04-03;9;5;35;1;22;False
2022-04-10;11;3;36;3;19;False
2022-04-17;7;2;41;1;21;False
2022-04-24;7;2;58;1;21;False
2022-05-01;8;2;41;1;22;False
2022-05-08;7;2;33;2;23;False
2022-05-15;6;2;28;3;24;False
2022-05-22;5;2;31;2;22;False
2022-05-29;7;2;28;1;23;False
2022-06-05;5;2;34;1;25;False
2022-06-12;7;2;41;1;23;False
2022-06-19;7;2;36;2;21;False
2022-06-26;6;2;38;1;22;False
2022-07-03;4;2;34;5;23;False
2022-07-10;4;2;100;2;24;False
2022-07-17;6;2;58;1;23;False
2022-07-24;6;3;41;1;23;False
2022-07-31;5;3;37;1;20;False
2022-08-07;8;2;86;1;20;False
2022-08-14;15;3;49;1;20;False
2022-08-21;13;2;43;4;17;False
2022-08-28;6;3;43;3;19;False
2022-09-04;4;3;57;1;20;False
2022-09-11;5;2;46;0;18;False
2022-09-18;6;2;60;1;17;False
2022-09-25;8;2;38;3;17;False
2022-10-02;7;2;34;1;17;False
2022-10-09;5;2;38;1;16;False
2022-10-16;4;2;39;1;15;False
2022-10-23;4;2;43;1;14;False
2022-10-30;5;3;53;2;13;False
2022-11-06;4;3;92;1;15;False
2022-11-13;21;3;86;3;13;False
2022-11-20;18;3;64;1;16;False
2022-11-27;16;3;36;1;15;False
2022-12-04;13;3;39;1;13;False
2022-12-11;15;3;52;1;14;False
2022-12-18;14;2;57;2;13;False
2022-12-25;12;3;47;5;17;False
2023-01-01;12;3;38;1;20;False
2023-01-08;11;2;29;2;18;False
2023-01-15;12;2;30;1;18;False
2023-01-22;39;3;30;2;16;False
2023-01-29;73;2;32;2;17;False
